parameter,operation,stage,class,role,components,stq2_cycles
864,dec,hash_g,hash,opt,1xhash_g,13313.05763888889
864,dec,SOTP decode,sample,official,1xsotp_decode,437.5597222222222
864,dec,SOTP decode,sample,opt,1xsotp_decode,428.0083333333333
864,dec,hash_h,hash,official,1xhash_h,3823.21875
864,dec,hash_h,hash,opt,1xhash_h,3843.2708333333335
864,dec,CBD1,sample,official,1xcbd1,364.72013888888887
864,dec,CBD1,sample,opt,1xcbd1,370.6423611111111
864,dec,re-encryption tobytes (+ verify),codec,official,1xtobytes,692.1548611111111
864,dec,re-encryption tobytes (+ verify),codec,opt,1xtobytes,438.94375
864,dec,same-ELF KEM total,total,official,kem_dec,23867.18125
864,dec,Native StQ2 (27 launches),native,official,avx2,23681.80864197531
864,dec,same-ELF KEM total,total,opt,kem_dec,22329.304166666665
864,dec,Native StQ2 (27 launches),native,opt,avx2-officialopt-lazy-codec-qual002,22340.621913580246
1152,keypair,seed expansion shake256 (x2),hash,official,2xshake256_coins,7543.154166666666
1152,keypair,seed expansion shake256 (x2),hash,opt,2xshake256_coins,7552.906944444445
1152,keypair,seed expansion shake256 (x2),hash,gt,2xshake256_coins,7529.495833333333
1152,keypair,CBD1 (x2),sample,official,2xcbd1,845.4833333333333
1152,keypair,CBD1 (x2),sample,opt,2xcbd1,831.8888888888889
1152,keypair,CBD1 (x2),sample,gt,2xcbd1,849.0486111111111
1152,keypair,triple (x2),sample,official,2xtriple,576.4652777777778
1152,keypair,triple (x2),sample,opt,2xtriple,568.7208333333333
1152,keypair,triple (x2),sample,gt,2xtriple,571.2458333333333
1152,keypair,Forward (x2),arith,official,2xforward,2777.159722222222
1152,keypair,Forward (x2),arith,opt,2xforward,2507.6208333333334
1152,keypair,Forward (x2),arith,gt,2xforward,2779.5805555555557
1152,keypair,BaseInv (x2),arith,official,2xbaseinv,3216.409722222222
1152,keypair,BaseInv (x2),arith,opt,2xbaseinv,3210.0569444444445
1152,keypair,BaseInv (x2),arith,gt,2xbaseinv,3202.0666666666666
1152,keypair,BaseMul (x2),arith,official,2xbasemul,1990.8069444444445
1152,keypair,BaseMul (x2),arith,opt,2xbasemul,1991.1638888888888
1152,keypair,BaseMul (x2),arith,gt,2xbasemul,1986.7125
1152,keypair,tobytes (x3),codec,official,3xtobytes,1623.375
1152,keypair,tobytes (x3),codec,opt,3xtobytes,1557.1104166666669
1152,keypair,tobytes (x3),codec,gt,3xtobytes,1629.4333333333332
1152,keypair,hash_f,hash,official,1xhash_f,15736.02638888889
1152,keypair,hash_f,hash,opt,1xhash_f,15712.214583333332
1152,keypair,hash_f,hash,gt,1xhash_f,15662.945833333333
1152,keypair,same-ELF KEM total,total,official,kem_keypair,34590.83263888889
1152,keypair,Native StQ2 (27 launches),native,official,avx2,34625.97530864197
1152,keypair,same-ELF KEM total,total,opt,kem_keypair,34222.59861111111
1152,keypair,Native StQ2 (27 launches),native,opt,avx2-officialopt-lazy-freeze-qual001,34312.06018518518
1152,keypair,same-ELF KEM total,total,gt,kem_keypair,34630.222916666666
1152,keypair,Native StQ2 (27 launches),native,gt,avx2-gt9x16-wire-h3-pairunpack-serializer-v2-exp017-sc20260831,34319.87345679013
1152,enc,pk frombytes,codec,official,1xfrombytes,437.3173611111111
1152,enc,pk frombytes,codec,opt,1xfrombytes,445.5083333333333
1152,enc,hash_f (pk),hash,official,1xhash_f,15736.02638888889
1152,enc,hash_f (pk),hash,opt,1xhash_f,15712.214583333332
1152,enc,hash_f (pk),hash,gt,1xhash_f,15662.945833333333
1152,enc,hash_h,hash,official,1xhash_h,4992.882638888889
1152,enc,hash_h,hash,opt,1xhash_h,5002.496527777777
1152,enc,hash_h,hash,gt,1xhash_h,4969.458333333333
1152,enc,CBD1,sample,official,1xcbd1,422.7416666666667
1152,enc,CBD1,sample,opt,1xcbd1,415.94444444444446
1152,enc,CBD1,sample,gt,1xcbd1,424.52430555555554
1152,enc,"Forward r, m (x2)",arith,official,2xforward,2777.159722222222
1152,enc,"Forward r, m (x2)",arith,opt,2xforward,2507.6208333333334
1152,enc,"Forward r, m (x2)",arith,gt,2xgt_forward,2984.561111111111
1152,enc,r tobytes,codec,official,1xtobytes,541.125
1152,enc,r tobytes,codec,opt,1xtobytes,519.0368055555556
1152,enc,hash_g,hash,official,1xhash_g,18142.70138888889
1152,enc,hash_g,hash,opt,1xhash_g,18117.745833333334
1152,enc,[exp017] Serializer V2 + hash_g (fuses r tobytes + hash_g),fused-hash-codec,gt,1xserializer_v2_hash_g,18336.995138888888
1152,enc,SOTP encode,sample,official,1xsotp_encode,422.15763888888887
1152,enc,SOTP encode,sample,opt,1xsotp_encode,424.0284722222222
1152,enc,SOTP encode,sample,gt,1xsotp_encode,419.72222222222223
1152,enc,BaseMul,arith,official,1xbasemul,995.4034722222223
1152,enc,BaseMul,arith,opt,1xbasemul,995.5819444444444
1152,enc,add,arith,official,1xadd,357.8625
1152,enc,add,arith,opt,1xadd,358.00555555555553
1152,enc,ct tobytes,codec,official,1xtobytes,541.125
1152,enc,ct tobytes,codec,opt,1xtobytes,519.0368055555556
1152,enc,[exp017] H4 exact egress (fuses pk frombytes + BaseMul + add + ct tobytes),fused-arith-codec,gt,1xh4_exact_egress,1993.611111111111
1152,enc,same-ELF KEM total,total,official,kem_enc,43232.004166666666
1152,enc,Native StQ2 (27 launches),native,official,avx2,43114.88271604938
1152,enc,same-ELF KEM total,total,opt,kem_enc,42967.254166666666
1152,enc,Native StQ2 (27 launches),native,opt,avx2-officialopt-lazy-freeze-qual001,42403.63271604938
1152,enc,same-ELF KEM total,total,gt,kem_enc,43996.82152777778
1152,enc,Native StQ2 (27 launches),native,gt,avx2-gt9x16-wire-h3-pairunpack-serializer-v2-exp017-sc20260831,43905.2237654321
1152,dec,ct + sk frombytes (x3),codec,official,3xfrombytes,1311.9520833333333
1152,dec,ct + sk frombytes (x3),codec,opt,3xfrombytes,1336.525
1152,dec,ct + sk frombytes (x3),codec,gt,3xfrombytes,1324.7041666666667
1152,dec,BaseMulScale,arith,official,1xbasemul_scale,858.0611111111111
1152,dec,BaseMulScale,arith,opt,1xbasemul_scale,868.1861111111111
1152,dec,BaseMulScale,arith,gt,1xbasemul_scale,858.9055555555556
1152,dec,inverse,arith,official,1xinverse,1425.7152777777778
1152,dec,inverse,arith,opt,1xinverse,1419.0875
1152,dec,inverse,arith,gt,1xinverse,1409.7854166666666
1152,dec,crepmod3,arith,official,1xcrepmod3,493.86041666666665
1152,dec,crepmod3,arith,opt,1xcrepmod3,489.46944444444443
1152,dec,crepmod3,arith,gt,1xcrepmod3,489.1326388888889
1152,dec,"Forward m, r' (x2)",arith,official,2xforward,2777.159722222222
1152,dec,"Forward m, r' (x2)",arith,opt,2xforward,2507.6208333333334
1152,dec,"Forward m, r' (x2)",arith,gt,2xforward,2779.5805555555557
1152,dec,sub,arith,official,1xsub,352.9291666666667
1152,dec,sub,arith,opt,1xsub,358.28125
1152,dec,sub,arith,gt,1xsub,354.5388888888889
1152,dec,BaseMul,arith,official,1xbasemul,995.4034722222223
1152,dec,BaseMul,arith,opt,1xbasemul,995.5819444444444
1152,dec,BaseMul,arith,gt,1xbasemul,993.35625
1152,dec,recovered r tobytes,codec,official,1xtobytes,541.125
1152,dec,recovered r tobytes,codec,opt,1xtobytes,519.0368055555556
1152,dec,recovered r tobytes,codec,gt,1xtobytes,543.1444444444444
1152,dec,hash_g,hash,official,1xhash_g,18142.70138888889
1152,dec,hash_g,hash,opt,1xhash_g,18117.745833333334
1152,dec,hash_g,hash,gt,1xhash_g,18001.175
1152,dec,SOTP decode,sample,official,1xsotp_decode,495.9791666666667
1152,dec,SOTP decode,sample,opt,1xsotp_decode,493.9201388888889
1152,dec,SOTP decode,sample,gt,1xsotp_decode,499.41319444444446
1152,dec,hash_h,hash,official,1xhash_h,4992.882638888889
1152,dec,hash_h,hash,opt,1xhash_h,5002.496527777777
1152,dec,hash_h,hash,gt,1xhash_h,4969.458333333333
1152,dec,CBD1,sample,official,1xcbd1,422.7416666666667
1152,dec,CBD1,sample,opt,1xcbd1,415.94444444444446
1152,dec,CBD1,sample,gt,1xcbd1,424.52430555555554
1152,dec,re-encryption tobytes (+ verify),codec,official,1xtobytes,541.125
1152,dec,re-encryption tobytes (+ verify),codec,opt,1xtobytes,519.0368055555556
1152,dec,re-encryption tobytes (+ verify),codec,gt,1xtobytes,543.1444444444444
1152,dec,same-ELF KEM total,total,official,kem_dec,30603.678472222222
1152,dec,Native StQ2 (27 launches),native,official,avx2,30540.283950617282
1152,dec,same-ELF KEM total,total,opt,kem_dec,30217.613194444446
1152,dec,Native StQ2 (27 launches),native,opt,avx2-officialopt-lazy-freeze-qual001,29970.09259259259
1152,dec,same-ELF KEM total,total,gt,kem_dec,30446.756944444445
1152,dec,Native StQ2 (27 launches),native,gt,avx2-gt9x16-wire-h3-pairunpack-serializer-v2-exp017-sc20260831,30551.564814814814
