parameter,component,role,stq2,stq1,stq3,observations,delta_vs_official,ci95_low,ci95_high,favourable_launches
768,sotp_encode,opt,328.81388888888887,322.09791666666666,336.6736111111111,5760,-7.784027777777794,-8.529861111111131,-7.070833333333326,15/15
768,sub,gt,289.96875,281.4236111111111,299.3965277777778,5760,-1.2645833333333485,-1.9902777777777487,-0.6180555555555429,13/15
768,sub,official,291.23333333333335,282.94305555555553,300.5826388888889,5760,,,,
768,sub,opt,294.96875,287.1,304.55833333333334,5760,3.7354166666666515,3.0395833333333258,4.404166666666697,0/15
768,tobytes,official,424.90763888888887,421.2597222222222,430.575,5760,,,,
768,tobytes,opt,410.6041666666667,406.43402777777777,416.1423611111111,5760,-14.303472222222183,-14.993749999999977,-13.481944444444423,15/15
768,triple,gt,241.25069444444443,234.64513888888888,247.1923611111111,5760,-4.377083333333331,-5.827777777777754,-3.0986111111111256,15/15
768,triple,official,245.62777777777777,235.4465277777778,255.60486111111112,5760,,,,
768,triple,opt,235.02569444444444,226.8076388888889,242.3625,5760,-10.602083333333326,-13.059027777777771,-8.570138888888891,15/15
768,unpack3_m,gt,802.4097222222222,791.4604166666667,810.0395833333333,5760,,,,
768,unpack_m,gt,404.5888888888889,395.60555555555555,412.0409722222222,5760,,,,
864,add,official,299.7888888888889,291.37847222222223,309.0416666666667,5760,,,,
864,add,opt,296.94305555555553,289.03680555555553,305.35069444444446,5760,-2.84583333333336,-5.084027777777806,-1.5034722222222285,15/15
864,baseinv,official,1182.3430555555556,1172.3152777777777,1194.2604166666667,5760,,,,
864,baseinv,opt,1181.8826388888888,1172.420138888889,1194.975,5760,-0.46041666666678793,-2.4562499999999545,1.4583333333332575,8/15
864,basemul,official,676.9861111111111,669.6368055555556,684.0409722222222,5760,,,,
864,basemul,opt,677.6923611111112,669.2847222222222,685.9798611111111,5760,0.7062500000000682,-0.3458333333334167,1.8743055555555657,4/15
864,basemul_scale,official,580.55625,574.3215277777778,586.1847222222223,5760,,,,
864,basemul_scale,opt,571.7388888888889,566.2430555555555,579.28125,5760,-8.81736111111104,-9.734722222222217,-7.8250000000000455,15/15
864,cbd1,official,364.72013888888887,356.6034722222222,372.0423611111111,5760,,,,
864,cbd1,opt,370.6423611111111,364.4555555555556,380.4472222222222,5760,5.922222222222217,4.9965277777777715,6.925694444444446,0/15
864,crepmod3,official,413.43333333333334,409.72222222222223,417.9201388888889,5760,,,,
864,crepmod3,opt,419.55347222222224,415.32152777777776,424.07916666666665,5760,6.120138888888903,4.674305555555577,7.161805555555588,1/15
864,forward,official,1093.798611111111,1082.5208333333333,1104.9097222222222,5760,,,,
864,forward,opt,1003.0465277777778,993.55625,1013.4701388888889,5760,-90.7520833333333,-92.038888888889,-89.2993055555554,15/15
864,frombytes,official,671.1486111111111,658.7680555555555,684.4048611111111,5760,,,,
864,frombytes,opt,395.4145833333333,387.71458333333334,404.4486111111111,5760,-275.7340277777778,-277.1715277777778,-274.1881944444445,15/15
864,hash_f,official,12148.619444444445,12086.12013888889,12198.277777777777,5760,,,,
864,hash_f,opt,12142.711111111112,12079.211111111112,12195.68611111111,5760,-5.908333333332848,-15.231944444445617,2.006944444443434,8/15
864,hash_g,official,13374.09375,13273.118055555555,13430.074305555556,5760,,,,
864,hash_g,opt,13313.05763888889,13236.877777777778,13413.189583333333,5760,-61.036111111110586,-79.90902777777774,-34.21527777777919,12/15
864,hash_h,official,3823.21875,3803.797916666667,3842.141666666667,5760,,,,
864,hash_h,opt,3843.2708333333335,3822.3347222222224,3863.575,5760,20.052083333333485,16.71736111111113,25.689583333333303,0/15
864,inverse,official,1153.4402777777777,1143.0708333333334,1164.2840277777777,5760,,,,
864,inverse,opt,1145.8861111111112,1136.673611111111,1155.0416666666667,5760,-7.554166666666561,-8.552083333333258,-6.5437500000000455,15/15
864,kem_dec,official,23867.18125,23718.504861111112,23971.57638888889,5760,,,,
864,kem_dec,opt,22329.304166666665,22204.390277777777,22481.36388888889,5760,-1537.8770833333365,-1552.2513888888898,-1516.9256944444423,15/15
864,kem_enc,official,33285.4375,33079.845138888886,33427.87013888889,5760,,,,
864,kem_enc,opt,32241.083333333332,32087.352083333335,32435.057638888888,5760,-1044.3541666666679,-1068.627777777776,-1015.8215277777745,15/15
864,kem_keypair,official,23835.071527777778,23754.65625,23908.80138888889,5760,,,,
864,kem_keypair,opt,22931.35347222222,22847.10486111111,23005.602083333335,5760,-903.7180555555569,-911.7569444444453,-893.4763888888883,15/15
864,shake256_coins,official,2613.476388888889,2599.6694444444443,2627.73125,5760,,,,
864,shake256_coins,opt,2606.7555555555555,2589.654861111111,2625.6090277777776,5760,-6.720833333333303,-9.777083333333394,-2.192361111111495,14/15
864,sotp_decode,official,437.5597222222222,429.6486111111111,443.88055555555553,5760,,,,
864,sotp_decode,opt,428.0083333333333,418.9659722222222,436.125,5760,-9.55138888888888,-11.002777777777794,-8.244444444444412,15/15
864,sotp_encode,official,378.03125,372.0576388888889,389.5444444444444,5760,,,,
864,sotp_encode,opt,376.0861111111111,369.5541666666667,386.1145833333333,5760,-1.9451388888888914,-4.612500000000011,-0.6479166666666742,14/15
864,sub,official,301.5284722222222,292.7993055555556,309.50694444444446,5760,,,,
864,sub,opt,301.20625,293.1423611111111,309.30625,5760,-0.32222222222219443,-1.1798611111111086,0.5048611111111541,9/15
864,tobytes,official,692.1548611111111,685.3263888888889,701.9361111111111,5760,,,,
864,tobytes,opt,438.94375,433.5513888888889,446.84791666666666,5760,-253.2111111111111,-253.91180555555553,-252.54166666666674,15/15
864,triple,official,243.46458333333334,236.8048611111111,256.34444444444443,5760,,,,
864,triple,opt,242.8736111111111,236.73263888888889,253.96597222222223,5760,-0.5909722222222342,-2.5416666666666856,1.7138888888889028,10/15
1152,add,gt,355.71527777777777,340.05,369.76944444444445,5760,-2.14722222222224,-3.298611111111086,-1.1618055555555316,12/15
1152,add,official,357.8625,341.78194444444443,370.95416666666665,5760,,,,
1152,add,opt,358.00555555555553,341.6173611111111,372.68125,5760,0.1430555555555202,-1.0388888888888914,1.393055555555577,7/15
1152,baseinv,gt,1601.0333333333333,1587.7395833333333,1614.2798611111111,5760,-7.171527777777783,-8.159027777777737,-6.034027777777737,15/15
1152,baseinv,official,1608.204861111111,1595.6125,1620.1465277777777,5760,,,,
1152,baseinv,opt,1605.0284722222223,1592.4118055555555,1616.9534722222222,5760,-3.176388888888823,-4.038888888889005,-2.263888888888914,14/15
1152,basemul,gt,993.35625,983.59375,1006.7826388888889,5760,-2.047222222222217,-3.3784722222221717,-0.693749999999909,12/15
1152,basemul,official,995.4034722222223,985.2375,1008.8909722222222,5760,,,,
1152,basemul,opt,995.5819444444444,985.6479166666667,1008.3868055555556,5760,0.17847222222212622,-1.2076388888888232,1.5152777777777828,6/15
1152,basemul_scale,gt,858.9055555555556,851.4291666666667,869.3361111111111,5760,0.8444444444444343,-0.22569444444445708,1.8402777777778283,5/15
1152,basemul_scale,official,858.0611111111111,849.5180555555555,869.1597222222222,5760,,,,
1152,basemul_scale,opt,868.1861111111111,859.8333333333334,879.1131944444444,5760,10.125,9.113194444444503,11.109722222222217,0/15
1152,cbd1,gt,424.52430555555554,416.09791666666666,430.8486111111111,5760,1.7826388888888687,1.1847222222222058,2.408333333333303,0/15
1152,cbd1,official,422.7416666666667,415.71736111111113,428.84375,5760,,,,
1152,cbd1,opt,415.94444444444446,407.52777777777777,423.8597222222222,5760,-6.797222222222217,-8.038194444444457,-5.63402777777776,15/15
1152,crepmod3,gt,489.1326388888889,484.71180555555554,493.3798611111111,5760,-4.72777777777776,-5.08263888888888,-4.347916666666663,15/15
1152,crepmod3,official,493.86041666666665,489.0395833333333,498.35833333333335,5760,,,,
1152,crepmod3,opt,489.46944444444443,484.4458333333333,494.4291666666667,5760,-4.390972222222217,-4.924305555555577,-3.815277777777794,15/15
1152,forward,gt,1389.7902777777779,1377.3083333333334,1402.454861111111,5760,1.210416666666788,-0.05763888888895963,2.466666666666697,5/15
1152,forward,official,1388.579861111111,1376.2479166666667,1401.5993055555555,5760,,,,
1152,forward,opt,1253.8104166666667,1240.6048611111112,1267.2381944444444,5760,-134.7694444444444,-136.0194444444444,-133.49930555555557,15/15
