experiments/gt864-p22-main-i16-ssa/candidate.sym.S:399: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:417: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:419: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:421: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:423: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:425: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:427: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:429: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:431: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:447: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:449: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:451: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:453: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:455: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:457: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:459: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:461: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
experiments/gt864-p22-main-i16-ssa/candidate.sym.S:479: warning[SYM005]: checker cannot classify instruction 'umov'; verify symbolic defs/uses manually.
