family,cut,block,observation,cycles
cpucycles tracesetup 0 amd64-perfpmcff precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 1 amd64-perfpmc precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 2 amd64-pmcff precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 3 amd64-tsc precision 1016 scaling 0.467415 only32 0
cpucycles tracesetup 4 amd64-tscasm precision 1026 scaling 0.467415 only32 0
cpucycles tracesetup 5 default-perfevent precision 206 scaling 1.000000 only32 0
cpucycles tracesetup 6 default-mach precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 7 default-monotonic precision 1075 scaling 1.400000 only32 0
cpucycles tracesetup 8 default-gettimeofday precision 2440 scaling 1400.000000 only32 0
cpucycles tracesetup 9 default-zero precision 0 scaling 0.000000 only32 0
1,5,0,15,26704
1,5,0,16,26753
1,5,0,17,26652
1,5,0,18,26791
1,5,0,19,26533
1,5,0,20,27228
1,5,0,21,26770
1,5,0,22,26743
1,5,0,23,26761
1,5,0,24,26875
1,5,0,25,26816
1,5,0,26,26809
1,5,0,27,26734
1,5,0,28,26755
1,5,0,29,26651
1,5,0,30,26538
1,5,0,31,26754
1,6,0,0,27449
1,6,0,1,38234
1,6,0,2,27554
1,6,0,3,27565
1,6,0,4,27428
1,6,0,5,27517
1,6,0,6,27579
1,6,0,7,27516
1,6,0,8,27478
1,6,0,9,27469
1,6,0,10,27561
1,6,0,11,27647
1,6,0,12,27061
1,6,0,13,27089
1,6,0,14,27556
1,6,0,15,27574
1,6,0,16,27526
1,6,0,17,27537
1,6,0,18,27560
1,6,0,19,27603
1,6,0,20,27078
1,6,0,21,27556
1,6,0,22,27509
1,6,0,23,27273
1,6,0,24,27339
1,6,0,25,27509
1,6,0,26,27285
1,6,0,27,27607
1,6,0,28,27502
1,6,0,29,27372
1,6,0,30,27553
1,6,0,31,27342
1,7,0,0,27643
1,7,0,1,28097
1,7,0,2,28187
1,7,0,3,28116
1,7,0,4,27577
1,7,0,5,28035
1,7,0,6,28032
1,7,0,7,28073
1,7,0,8,28028
1,7,0,9,28062
1,7,0,10,28081
1,7,0,11,28117
1,7,0,12,28027
1,7,0,13,28253
1,7,0,14,27754
1,7,0,15,27647
1,7,0,16,27695
1,7,0,17,28036
1,7,0,18,28041
1,7,0,19,28132
1,7,0,20,28172
1,7,0,21,27923
1,7,0,22,28008
1,7,0,23,28033
1,7,0,24,27884
1,7,0,25,28072
1,7,0,26,27769
1,7,0,27,27714
1,7,0,28,27860
1,7,0,29,27825
1,7,0,30,27848
1,7,0,31,27669
1,8,0,0,28092
1,8,0,1,28232
1,8,0,2,28306
1,8,0,3,28373
1,8,0,4,28367
1,8,0,5,28197
1,8,0,6,28213
1,8,0,7,28148
1,8,0,8,28231
1,8,0,9,28307
1,8,0,10,28299
1,8,0,11,28392
1,8,0,12,28305
1,8,0,13,28139
1,8,0,14,28026
1,8,0,15,27743
1,8,0,16,28343
1,8,0,17,28430
1,8,0,18,27750
1,8,0,19,28166
1,8,0,20,28029
1,8,0,21,28241
1,8,0,22,28408
1,8,0,23,28188
1,8,0,24,28202
1,8,0,25,28061
1,8,0,26,28176
1,8,0,27,28131
1,8,0,28,28033
1,8,0,29,28381
1,8,0,30,27930
1,8,0,31,28331
1,9,0,0,28316
