region,block,slot,observation,bank,cycles
0,2,1,16,0,12418
0,2,1,17,1,12375
0,2,1,18,2,12417
0,2,1,19,3,12441
0,2,1,20,4,12397
0,2,1,21,5,12422
0,2,1,22,6,12438
0,2,1,23,7,12400
0,2,1,24,8,12462
0,2,1,25,9,12381
0,2,1,26,10,12390
0,2,1,27,11,12472
0,2,1,28,12,12381
0,2,1,29,13,12405
0,2,1,30,14,12416
0,2,1,31,15,12706
0,2,2,0,0,12330
0,2,2,1,1,12397
0,2,2,2,2,12333
0,2,2,3,3,12432
0,2,2,4,4,12244
0,2,2,5,5,12344
0,2,2,6,6,12312
0,2,2,7,7,12383
0,2,2,8,8,12454
0,2,2,9,9,12398
0,2,2,10,10,12378
0,2,2,11,11,12452
0,2,2,12,12,12455
0,2,2,13,13,12350
0,2,2,14,14,12313
0,2,2,15,15,12438
0,2,2,16,0,12352
0,2,2,17,1,12360
0,2,2,18,2,12441
0,2,2,19,3,12398
0,2,2,20,4,12339
0,2,2,21,5,12393
0,2,2,22,6,12404
0,2,2,23,7,12349
0,2,2,24,8,12342
0,2,2,25,9,12360
0,2,2,26,10,12460
0,2,2,27,11,12375
0,2,2,28,12,12342
0,2,2,29,13,12421
0,2,2,30,14,12435
0,2,2,31,15,12382
0,2,3,0,0,12229
0,2,3,1,1,12471
0,2,3,2,2,12310
0,2,3,3,3,12250
0,2,3,4,4,12353
0,2,3,5,5,12492
0,2,3,6,6,12447
0,2,3,7,7,12421
0,2,3,8,8,12366
0,2,3,9,9,12489
0,2,3,10,10,12391
0,2,3,11,11,12438
0,2,3,12,12,12466
0,2,3,13,13,12417
0,2,3,14,14,12461
0,2,3,15,15,12333
0,2,3,16,0,12414
0,2,3,17,1,12358
0,2,3,18,2,12415
0,2,3,19,3,12392
0,2,3,20,4,12478
0,2,3,21,5,12378
0,2,3,22,6,12353
0,2,3,23,7,12365
0,2,3,24,8,12380
0,2,3,25,9,12433
0,2,3,26,10,12560
0,2,3,27,11,12364
0,2,3,28,12,12481
0,2,3,29,13,12377
0,2,3,30,14,12351
0,2,3,31,15,12455
0,3,0,0,0,12187
0,3,0,1,1,12307
0,3,0,2,2,12329
0,3,0,3,3,12371
0,3,0,4,4,12392
0,3,0,5,5,12467
0,3,0,6,6,12422
0,3,0,7,7,12405
0,3,0,8,8,12370
0,3,0,9,9,12333
0,3,0,10,10,12366
0,3,0,11,11,12427
0,3,0,12,12,12336
0,3,0,13,13,12478
0,3,0,14,14,12358
0,3,0,15,15,12329
0,3,0,16,0,12405
0,3,0,17,1,12442
0,3,0,18,2,12434
0,3,0,19,3,12325
0,3,0,20,4,12341
0,3,0,21,5,12476
0,3,0,22,6,12480
0,3,0,23,7,12414
0,3,0,24,8,12317
0,3,0,25,9,12337
0,3,0,26,10,12269
0,3,0,27,11,12271
0,3,0,28,12,12404
0,3,0,29,13,12427
0,3,0,30,14,12505
0,3,0,31,15,12943
0,3,1,0,0,12288
0,3,1,1,1,12481
0,3,1,2,2,12480
0,3,1,3,3,12459
0,3,1,4,4,12483
0,3,1,5,5,12409
0,3,1,6,6,12357
0,3,1,7,7,12481
0,3,1,8,8,12296
0,3,1,9,9,12435
0,3,1,10,10,12349
0,3,1,11,11,12396
0,3,1,12,12,12572
0,3,1,13,13,12343
0,3,1,14,14,12342
0,3,1,15,15,12315
0,3,1,16,0,12334
0,3,1,17,1,12456
0,3,1,18,2,12481
0,3,1,19,3,12358
0,3,1,20,4,12362
0,3,1,21,5,12273
0,3,1,22,6,12427
0,3,1,23,7,12386
0,3,1,24,8,12270
0,3,1,25,9,12356
0,3,1,26,10,12356
0,3,1,27,11,12418
0,3,1,28,12,12490
0,3,1,29,13,12384
0,3,1,30,14,12385
0,3,1,31,15,12383
0,3,2,0,0,12390
0,3,2,1,1,12314
0,3,2,2,2,12397
0,3,2,3,3,12360
0,3,2,4,4,12307
0,3,2,5,5,12476
0,3,2,6,6,12392
0,3,2,7,7,12452
0,3,2,8,8,12434
0,3,2,9,9,12444
0,3,2,10,10,12515
0,3,2,11,11,12412
0,3,2,12,12,12524
0,3,2,13,13,12483
0,3,2,14,14,12437
0,3,2,15,15,12426
0,3,2,16,0,12341
0,3,2,17,1,12343
