stage1_order,branch,group,n3,n32,n32_lane,quartic_lane,source_chunk_role,source_chunk,source_block_k,source_branch_pos,source_after_top_split_pos,low_input_pos,high_input_pos,top_zeta_mont,top_zeta_normal,top_split_formula,twist_table,twist_index,twist_mont,twist_normal,operation,ld4_load_chunk_low,ld4_load_chunk_high,ld4_vector_lane,ld4_staging_expr,ld4_staging_coeff_offset,ld4_staging_byte_offset,dft3_ld4_load_row,dft3_ld4_output_register,ld3_staging_expr,ld3_staging_coeff_offset,ld3_staging_byte_offset,dft3_ld3_load_group,dft3_ld3_output_register,notes
230,0,2,1,17,1,2,B,6,49,198,198,198,582,-1033,2735,low_plus_zeta_high,twist_branch0,49,943,3333,top_split_then_twist_then_store_dft3_input,a[192..223],a[576..607],1,tmp_ld4[branch0][group2][n31][n32_lane1][q2],230,460,ld4_tmp_ld4_branch0_group2_n31,x1_q2_vlane1,tmp_ld3[branch0][q2][group2][n32_lane1][n31],244,488,ld3_tmp_ld3_branch0_q2_group2,x1_vlane1,LD4_layout_is_recommended_for_four_quartic_lanes;LD3_layout_is_alternative_per_quartic_lane
231,0,2,1,17,1,3,B,6,49,199,199,199,583,-1033,2735,low_plus_zeta_high,twist_branch0,49,943,3333,top_split_then_twist_then_store_dft3_input,a[192..223],a[576..607],1,tmp_ld4[branch0][group2][n31][n32_lane1][q3],231,462,ld4_tmp_ld4_branch0_group2_n31,x1_q3_vlane1,tmp_ld3[branch0][q3][group2][n32_lane1][n31],340,680,ld3_tmp_ld3_branch0_q3_group2,x1_vlane1,LD4_layout_is_recommended_for_four_quartic_lanes;LD3_layout_is_alternative_per_quartic_lane
232,0,2,1,18,2,0,C,10,82,328,328,328,712,-1033,2735,low_plus_zeta_high,twist_branch0,82,800,606,top_split_then_twist_then_store_dft3_input,a[320..351],a[704..735],2,tmp_ld4[branch0][group2][n31][n32_lane2][q0],232,464,ld4_tmp_ld4_branch0_group2_n31,x1_q0_vlane2,tmp_ld3[branch0][q0][group2][n32_lane2][n31],55,110,ld3_tmp_ld3_branch0_q0_group2,x1_vlane2,LD4_layout_is_recommended_for_four_quartic_lanes;LD3_layout_is_alternative_per_quartic_lane
233,0,2,1,18,2,1,C,10,82,329,329,329,713,-1033,2735,low_plus_zeta_high,twist_branch0,82,800,606,top_split_then_twist_then_store_dft3_input,a[320..351],a[704..735],2,tmp_ld4[branch0][group2][n31][n32_lane2][q1],233,466,ld4_tmp_ld4_branch0_group2_n31,x1_q1_vlane2,tmp_ld3[branch0][q1][group2][n32_lane2][n31],151,302,ld3_tmp_ld3_branch0_q1_group2,x1_vlane2,LD4_layout_is_recommended_for_four_quartic_lanes;LD3_layout_is_alternative_per_quartic_lane
234,0,2,1,18,2,2,C,10,82,330,330,330,714,-1033,2735,low_plus_zeta_high,twist_branch0,82,800,606,top_split_then_twist_then_store_dft3_input,a[320..351],a[704..735],2,tmp_ld4[branch0][group2][n31][n32_lane2][q2],234,468,ld4_tmp_ld4_branch0_group2_n31,x1_q2_vlane2,tmp_ld3[branch0][q2][group2][n32_lane2][n31],247,494,ld3_tmp_ld3_branch0_q2_group2,x1_vlane2,LD4_layout_is_recommended_for_four_quartic_lanes;LD3_layout_is_alternative_per_quartic_lane
235,0,2,1,18,2,3,C,10,82,331,331,331,715,-1033,2735,low_plus_zeta_high,twist_branch0,82,800,606,top_split_then_twist_then_store_dft3_input,a[320..351],a[704..735],2,tmp_ld4[branch0][group2][n31][n32_lane2][q3],235,470,ld4_tmp_ld4_branch0_group2_n31,x1_q3_vlane2,tmp_ld3[branch0][q3][group2][n32_lane2][n31],343,686,ld3_tmp_ld3_branch0_q3_group2,x1_vlane2,LD4_layout_is_recommended_for_four_quartic_lanes;LD3_layout_is_alternative_per_quartic_lane
236,0,2,1,19,3,0,A,2,19,76,76,76,460,-1033,2735,low_plus_zeta_high,twist_branch0,19,-432,779,top_split_then_twist_then_store_dft3_input,a[64..95],a[448..479],3,tmp_ld4[branch0][group2][n31][n32_lane3][q0],236,472,ld4_tmp_ld4_branch0_group2_n31,x1_q0_vlane3,tmp_ld3[branch0][q0][group2][n32_lane3][n31],58,116,ld3_tmp_ld3_branch0_q0_group2,x1_vlane3,LD4_layout_is_recommended_for_four_quartic_lanes;LD3_layout_is_alternative_per_quartic_lane
237,0,2,1,19,3,1,A,2,19,77,77,77,461,-1033,2735,low_plus_zeta_high,twist_branch0,19,-432,779,top_split_then_twist_then_store_dft3_input,a[64..95],a[448..479],3,tmp_ld4[branch0][group2][n31][n32_lane3][q1],237,474,ld4_tmp_ld4_branch0_group2_n31,x1_q1_vlane3,tmp_ld3[branch0][q1][group2][n32_lane3][n31],154,308,ld3_tmp_ld3_branch0_q1_group2,x1_vlane3,LD4_layout_is_recommended_for_four_quartic_lanes;LD3_layout_is_alternative_per_quartic_lane
238,0,2,1,19,3,2,A,2,19,78,78,78,462,-1033,2735,low_plus_zeta_high,twist_branch0,19,-432,779,top_split_then_twist_then_store_dft3_input,a[64..95],a[448..479],3,tmp_ld4[branch0][group2][n31][n32_lane3][q2],238,476,ld4_tmp_ld4_branch0_group2_n31,x1_q2_vlane3,tmp_ld3[branch0][q2][group2][n32_lane3][n31],250,500,ld3_tmp_ld3_branch0_q2_group2,x1_vlane3,LD4_layout_is_recommended_for_four_quartic_lanes;LD3_layout_is_alternative_per_quartic_lane
239,0,2,1,19,3,3,A,2,19,79,79,79,463,-1033,2735,low_plus_zeta_high,twist_branch0,19,-432,779,top_split_then_twist_then_store_dft3_input,a[64..95],a[448..479],3,tmp_ld4[branch0][group2][n31][n32_lane3][q3],239,478,ld4_tmp_ld4_branch0_group2_n31,x1_q3_vlane3,tmp_ld3[branch0][q3][group2][n32_lane3][n31],346,692,ld3_tmp_ld3_branch0_q3_group2,x1_vlane3,LD4_layout_is_recommended_for_four_quartic_lanes;LD3_layout_is_alternative_per_quartic_lane
