phase,branch,quartic_lane,vector_group,register,register_lane,physical_pos,branch_pos,block_k,twist_index,input_n3,input_n32,dft_output_k3,ntt32_stage,ntt32_len,ntt32_work_index,ntt32_input_k32,ntt32_role,pair_lo_index,pair_hi_index,twiddle_power,twiddle_mont,twiddle_normal,source_pos_n3_0,source_pos_n3_1,source_pos_n3_2,source_twist_n3_0,source_twist_n3_1,source_twist_n3_2,notes
dft3_output_pack,0,0,0,v6,2,-1,-1,-1,-1,-1,2,2,-1,-1,-1,-1,dft_output,-1,-1,0,-147,1,264,136,8,66,34,2,linear_combination_of_three_input_crt_sources
dft3_output_pack,0,0,0,v6,3,-1,-1,-1,-1,-1,3,2,-1,-1,-1,-1,dft_output,-1,-1,0,-147,1,12,268,140,3,67,35,linear_combination_of_three_input_crt_sources
dft3_output_pack,0,0,0,v6,4,-1,-1,-1,-1,-1,4,2,-1,-1,-1,-1,dft_output,-1,-1,0,-147,1,144,16,272,36,4,68,linear_combination_of_three_input_crt_sources
dft3_output_pack,0,0,0,v6,5,-1,-1,-1,-1,-1,5,2,-1,-1,-1,-1,dft_output,-1,-1,0,-147,1,276,148,20,69,37,5,linear_combination_of_three_input_crt_sources
dft3_output_pack,0,0,0,v6,6,-1,-1,-1,-1,-1,6,2,-1,-1,-1,-1,dft_output,-1,-1,0,-147,1,24,280,152,6,70,38,linear_combination_of_three_input_crt_sources
dft3_output_pack,0,0,0,v6,7,-1,-1,-1,-1,-1,7,2,-1,-1,-1,-1,dft_output,-1,-1,0,-147,1,156,28,284,39,7,71,linear_combination_of_three_input_crt_sources
input_crt_pack,0,0,1,v4,0,288,288,72,72,0,8,-1,-1,-1,-1,-1,source,-1,-1,0,-147,1,-1,-1,-1,-1,-1,-1,physical_source_then_twist_by_twist_index
input_crt_pack,0,0,1,v4,1,36,36,9,9,0,9,-1,-1,-1,-1,-1,source,-1,-1,0,-147,1,-1,-1,-1,-1,-1,-1,physical_source_then_twist_by_twist_index
input_crt_pack,0,0,1,v4,2,168,168,42,42,0,10,-1,-1,-1,-1,-1,source,-1,-1,0,-147,1,-1,-1,-1,-1,-1,-1,physical_source_then_twist_by_twist_index
input_crt_pack,0,0,1,v4,3,300,300,75,75,0,11,-1,-1,-1,-1,-1,source,-1,-1,0,-147,1,-1,-1,-1,-1,-1,-1,physical_source_then_twist_by_twist_index
input_crt_pack,0,0,1,v4,4,48,48,12,12,0,12,-1,-1,-1,-1,-1,source,-1,-1,0,-147,1,-1,-1,-1,-1,-1,-1,physical_source_then_twist_by_twist_index
input_crt_pack,0,0,1,v4,5,180,180,45,45,0,13,-1,-1,-1,-1,-1,source,-1,-1,0,-147,1,-1,-1,-1,-1,-1,-1,physical_source_then_twist_by_twist_index
input_crt_pack,0,0,1,v4,6,312,312,78,78,0,14,-1,-1,-1,-1,-1,source,-1,-1,0,-147,1,-1,-1,-1,-1,-1,-1,physical_source_then_twist_by_twist_index
input_crt_pack,0,0,1,v4,7,60,60,15,15,0,15,-1,-1,-1,-1,-1,source,-1,-1,0,-147,1,-1,-1,-1,-1,-1,-1,physical_source_then_twist_by_twist_index
input_crt_pack,0,0,1,v5,0,160,160,40,40,1,8,-1,-1,-1,-1,-1,source,-1,-1,0,-147,1,-1,-1,-1,-1,-1,-1,physical_source_then_twist_by_twist_index
input_crt_pack,0,0,1,v5,1,292,292,73,73,1,9,-1,-1,-1,-1,-1,source,-1,-1,0,-147,1,-1,-1,-1,-1,-1,-1,physical_source_then_twist_by_twist_index
input_crt_pack,0,0,1,v5,2,40,40,10,10,1,10,-1,-1,-1,-1,-1,source,-1,-1,0,-147,1,-1,-1,-1,-1,-1,-1,physical_source_then_twist_by_twist_index
input_crt_pack,0,0,1,v5,3,172,172,43,43,1,11,-1,-1,-1,-1,-1,source,-1,-1,0,-147,1,-1,-1,-1,-1,-1,-1,physical_source_then_twist_by_twist_index
input_crt_pack,0,0,1,v5,4,304,304,76,76,1,12,-1,-1,-1,-1,-1,source,-1,-1,0,-147,1,-1,-1,-1,-1,-1,-1,physical_source_then_twist_by_twist_index
input_crt_pack,0,0,1,v5,5,52,52,13,13,1,13,-1,-1,-1,-1,-1,source,-1,-1,0,-147,1,-1,-1,-1,-1,-1,-1,physical_source_then_twist_by_twist_index
