pair_i,low_input_pos,high_input_pos,top_zeta_mont,top_zeta_normal,asm_loop_iter,asm_lane,asm_low_load_register,asm_high_load_register,asm_temp_register,branch0_output_pos,branch0_output_register,branch0_formula,branch1_output_pos,branch1_output_register,branch1_formula,notes
18,18,402,-1033,2735,2,2,v4,v10,v16,18,v4,t=fqmul_zeta_top_a[402];r[18]=a[18]+t,402,v10,t=fqmul_zeta_top_a[402];r[402]=a[18]+a[402]-t,matches_original_ntt_s_level0_load_shape
19,19,403,-1033,2735,2,3,v4,v10,v16,19,v4,t=fqmul_zeta_top_a[403];r[19]=a[19]+t,403,v10,t=fqmul_zeta_top_a[403];r[403]=a[19]+a[403]-t,matches_original_ntt_s_level0_load_shape
20,20,404,-1033,2735,2,4,v4,v10,v16,20,v4,t=fqmul_zeta_top_a[404];r[20]=a[20]+t,404,v10,t=fqmul_zeta_top_a[404];r[404]=a[20]+a[404]-t,matches_original_ntt_s_level0_load_shape
21,21,405,-1033,2735,2,5,v4,v10,v16,21,v4,t=fqmul_zeta_top_a[405];r[21]=a[21]+t,405,v10,t=fqmul_zeta_top_a[405];r[405]=a[21]+a[405]-t,matches_original_ntt_s_level0_load_shape
22,22,406,-1033,2735,2,6,v4,v10,v16,22,v4,t=fqmul_zeta_top_a[406];r[22]=a[22]+t,406,v10,t=fqmul_zeta_top_a[406];r[406]=a[22]+a[406]-t,matches_original_ntt_s_level0_load_shape
23,23,407,-1033,2735,2,7,v4,v10,v16,23,v4,t=fqmul_zeta_top_a[407];r[23]=a[23]+t,407,v10,t=fqmul_zeta_top_a[407];r[407]=a[23]+a[407]-t,matches_original_ntt_s_level0_load_shape
24,24,408,-1033,2735,3,0,v4,v10,v16,24,v4,t=fqmul_zeta_top_a[408];r[24]=a[24]+t,408,v10,t=fqmul_zeta_top_a[408];r[408]=a[24]+a[408]-t,matches_original_ntt_s_level0_load_shape
25,25,409,-1033,2735,3,1,v4,v10,v16,25,v4,t=fqmul_zeta_top_a[409];r[25]=a[25]+t,409,v10,t=fqmul_zeta_top_a[409];r[409]=a[25]+a[409]-t,matches_original_ntt_s_level0_load_shape
26,26,410,-1033,2735,3,2,v4,v10,v16,26,v4,t=fqmul_zeta_top_a[410];r[26]=a[26]+t,410,v10,t=fqmul_zeta_top_a[410];r[410]=a[26]+a[410]-t,matches_original_ntt_s_level0_load_shape
27,27,411,-1033,2735,3,3,v4,v10,v16,27,v4,t=fqmul_zeta_top_a[411];r[27]=a[27]+t,411,v10,t=fqmul_zeta_top_a[411];r[411]=a[27]+a[411]-t,matches_original_ntt_s_level0_load_shape
28,28,412,-1033,2735,3,4,v4,v10,v16,28,v4,t=fqmul_zeta_top_a[412];r[28]=a[28]+t,412,v10,t=fqmul_zeta_top_a[412];r[412]=a[28]+a[412]-t,matches_original_ntt_s_level0_load_shape
29,29,413,-1033,2735,3,5,v4,v10,v16,29,v4,t=fqmul_zeta_top_a[413];r[29]=a[29]+t,413,v10,t=fqmul_zeta_top_a[413];r[413]=a[29]+a[413]-t,matches_original_ntt_s_level0_load_shape
30,30,414,-1033,2735,3,6,v4,v10,v16,30,v4,t=fqmul_zeta_top_a[414];r[30]=a[30]+t,414,v10,t=fqmul_zeta_top_a[414];r[414]=a[30]+a[414]-t,matches_original_ntt_s_level0_load_shape
31,31,415,-1033,2735,3,7,v4,v10,v16,31,v4,t=fqmul_zeta_top_a[415];r[31]=a[31]+t,415,v10,t=fqmul_zeta_top_a[415];r[415]=a[31]+a[415]-t,matches_original_ntt_s_level0_load_shape
32,32,416,-1033,2735,4,0,v4,v10,v16,32,v4,t=fqmul_zeta_top_a[416];r[32]=a[32]+t,416,v10,t=fqmul_zeta_top_a[416];r[416]=a[32]+a[416]-t,matches_original_ntt_s_level0_load_shape
33,33,417,-1033,2735,4,1,v4,v10,v16,33,v4,t=fqmul_zeta_top_a[417];r[33]=a[33]+t,417,v10,t=fqmul_zeta_top_a[417];r[417]=a[33]+a[417]-t,matches_original_ntt_s_level0_load_shape
34,34,418,-1033,2735,4,2,v4,v10,v16,34,v4,t=fqmul_zeta_top_a[418];r[34]=a[34]+t,418,v10,t=fqmul_zeta_top_a[418];r[418]=a[34]+a[418]-t,matches_original_ntt_s_level0_load_shape
35,35,419,-1033,2735,4,3,v4,v10,v16,35,v4,t=fqmul_zeta_top_a[419];r[35]=a[35]+t,419,v10,t=fqmul_zeta_top_a[419];r[419]=a[35]+a[419]-t,matches_original_ntt_s_level0_load_shape
36,36,420,-1033,2735,4,4,v4,v10,v16,36,v4,t=fqmul_zeta_top_a[420];r[36]=a[36]+t,420,v10,t=fqmul_zeta_top_a[420];r[420]=a[36]+a[420]-t,matches_original_ntt_s_level0_load_shape
37,37,421,-1033,2735,4,5,v4,v10,v16,37,v4,t=fqmul_zeta_top_a[421];r[37]=a[37]+t,421,v10,t=fqmul_zeta_top_a[421];r[421]=a[37]+a[421]-t,matches_original_ntt_s_level0_load_shape
38,38,422,-1033,2735,4,6,v4,v10,v16,38,v4,t=fqmul_zeta_top_a[422];r[38]=a[38]+t,422,v10,t=fqmul_zeta_top_a[422];r[422]=a[38]+a[422]-t,matches_original_ntt_s_level0_load_shape
39,39,423,-1033,2735,4,7,v4,v10,v16,39,v4,t=fqmul_zeta_top_a[423];r[39]=a[39]+t,423,v10,t=fqmul_zeta_top_a[423];r[423]=a[39]+a[423]-t,matches_original_ntt_s_level0_load_shape
40,40,424,-1033,2735,5,0,v4,v10,v16,40,v4,t=fqmul_zeta_top_a[424];r[40]=a[40]+t,424,v10,t=fqmul_zeta_top_a[424];r[424]=a[40]+a[424]-t,matches_original_ntt_s_level0_load_shape
41,41,425,-1033,2735,5,1,v4,v10,v16,41,v4,t=fqmul_zeta_top_a[425];r[41]=a[41]+t,425,v10,t=fqmul_zeta_top_a[425];r[425]=a[41]+a[425]-t,matches_original_ntt_s_level0_load_shape
42,42,426,-1033,2735,5,2,v4,v10,v16,42,v4,t=fqmul_zeta_top_a[426];r[42]=a[42]+t,426,v10,t=fqmul_zeta_top_a[426];r[426]=a[42]+a[426]-t,matches_original_ntt_s_level0_load_shape
43,43,427,-1033,2735,5,3,v4,v10,v16,43,v4,t=fqmul_zeta_top_a[427];r[43]=a[43]+t,427,v10,t=fqmul_zeta_top_a[427];r[427]=a[43]+a[427]-t,matches_original_ntt_s_level0_load_shape
