row_k3,stage,len,start,j,lo_index,hi_index,twiddle_power,twiddle_mont,twiddle_normal,algorithm,notes
0,3,8,8,1,9,13,4,109,1716,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
0,3,8,8,2,10,14,8,366,2749,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
0,3,8,8,3,11,15,12,-1118,1936,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
0,3,8,16,0,16,20,0,-147,1,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
0,3,8,16,1,17,21,4,109,1716,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
0,3,8,16,2,18,22,8,366,2749,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
0,3,8,16,3,19,23,12,-1118,1936,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
0,3,8,24,0,24,28,0,-147,1,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
0,3,8,24,1,25,29,4,109,1716,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
0,3,8,24,2,26,30,8,366,2749,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
0,3,8,24,3,27,31,12,-1118,1936,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
0,4,4,0,0,0,2,0,-147,1,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
0,4,4,0,1,1,3,8,366,2749,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
0,4,4,4,0,4,6,0,-147,1,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
0,4,4,4,1,5,7,8,366,2749,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
0,4,4,8,0,8,10,0,-147,1,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
0,4,4,8,1,9,11,8,366,2749,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
0,4,4,12,0,12,14,0,-147,1,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
0,4,4,12,1,13,15,8,366,2749,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
0,4,4,16,0,16,18,0,-147,1,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
0,4,4,16,1,17,19,8,366,2749,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
0,4,4,20,0,20,22,0,-147,1,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
0,4,4,20,1,21,23,8,366,2749,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
0,4,4,24,0,24,26,0,-147,1,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
0,4,4,24,1,25,27,8,366,2749,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
0,4,4,28,0,28,30,0,-147,1,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
0,4,4,28,1,29,31,8,366,2749,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
1,1,32,0,0,0,16,0,-147,1,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
