branch,base_F,block_k,position_start,position_end,lane_count,exponent,twist_table,twist_index,twist_mont,twist_normal,operation,expanded_positions,notes
1,22,23,476,479,4,-23,twist_branch1,23,-1660,1681,r[476..479]=r[476..479]*22^(-23),r[476]|r[477]|r[478]|r[479],same_twist_for_four_quartic_lanes
1,22,24,480,483,4,-24,twist_branch1,24,-704,3062,r[480..483]=r[480..483]*22^(-24),r[480]|r[481]|r[482]|r[483],same_twist_for_four_quartic_lanes
1,22,25,484,487,4,-25,twist_branch1,25,-32,1082,r[484..487]=r[484..487]*22^(-25),r[484]|r[485]|r[486]|r[487],same_twist_for_four_quartic_lanes
1,22,26,488,491,4,-26,twist_branch1,26,-630,992,r[488..491]=r[488..491]*22^(-26),r[488]|r[489]|r[490]|r[491],same_twist_for_four_quartic_lanes
1,22,27,492,495,4,-27,twist_branch1,27,-1600,2245,r[492..495]=r[492..495]*22^(-27),r[492]|r[493]|r[494]|r[495],same_twist_for_four_quartic_lanes
1,22,28,496,499,4,-28,twist_branch1,28,-387,1202,r[496..499]=r[496..499]*22^(-28),r[496]|r[497]|r[498]|r[499],same_twist_for_four_quartic_lanes
1,22,29,500,503,4,-29,twist_branch1,29,-489,1626,r[500..503]=r[500..503]*22^(-29),r[500]|r[501]|r[502]|r[503],same_twist_for_four_quartic_lanes
1,22,30,504,507,4,-30,twist_branch1,30,1392,1331,r[504..507]=r[504..507]*22^(-30),r[504]|r[505]|r[506]|r[507],same_twist_for_four_quartic_lanes
1,22,31,508,511,4,-31,twist_branch1,31,-251,1789,r[508..511]=r[508..511]*22^(-31),r[508]|r[509]|r[510]|r[511],same_twist_for_four_quartic_lanes
1,22,32,512,515,4,-32,twist_branch1,32,460,867,r[512..515]=r[512..515]*22^(-32),r[512]|r[513]|r[514]|r[515],same_twist_for_four_quartic_lanes
1,22,33,516,519,4,-33,twist_branch1,33,1278,3025,r[516..519]=r[516..519]*22^(-33),r[516]|r[517]|r[518]|r[519],same_twist_for_four_quartic_lanes
1,22,34,520,523,4,-34,twist_branch1,34,-1199,1866,r[520..523]=r[520..523]*22^(-34),r[520]|r[521]|r[522]|r[523],same_twist_for_four_quartic_lanes
1,22,35,524,527,4,-35,twist_branch1,35,1674,2599,r[524..527]=r[524..527]*22^(-35),r[524]|r[525]|r[526]|r[527],same_twist_for_four_quartic_lanes
1,22,36,528,531,4,-36,twist_branch1,36,-1181,3418,r[528..531]=r[528..531]*22^(-36),r[528]|r[529]|r[530]|r[531],same_twist_for_four_quartic_lanes
1,22,37,532,535,4,-37,twist_branch1,37,732,2041,r[532..535]=r[532..535]*22^(-37),r[532]|r[533]|r[534]|r[535],same_twist_for_four_quartic_lanes
1,22,38,536,539,4,-38,twist_branch1,38,-281,1507,r[536..539]=r[536..539]*22^(-38),r[536]|r[537]|r[538]|r[539],same_twist_for_four_quartic_lanes
1,22,39,540,543,4,-39,twist_branch1,39,-1427,1797,r[540..543]=r[540..543]*22^(-39),r[540]|r[541]|r[542]|r[543],same_twist_for_four_quartic_lanes
1,22,40,544,547,4,-40,twist_branch1,40,-222,2753,r[544..547]=r[544..547]*22^(-40),r[544]|r[545]|r[546]|r[547],same_twist_for_four_quartic_lanes
1,22,41,548,551,4,-41,twist_branch1,41,1247,3425,r[548..551]=r[548..551]*22^(-41),r[548]|r[549]|r[550]|r[551],same_twist_for_four_quartic_lanes
1,22,42,552,555,4,-42,twist_branch1,42,-729,2827,r[552..555]=r[552..555]*22^(-42),r[552]|r[553]|r[554]|r[555],same_twist_for_four_quartic_lanes
