branch,quartic_lane,n32,vector_group,register_lane,matrix_lane_stream,x0_offsets_8,x1_offsets_8,x2_offsets_8,x0_pos,x0_block,x0_twist_mont,x0_twist_normal,x1_pos,x1_block,x1_twist_mont,x1_twist_normal,x2_pos,x2_block,x2_twist_mont,x2_twist_normal,input_pack_registers,d_mont_constant,dft_y0_formula,dft_y1_formula,dft_y2_formula,y0_row_k3,y1_row_k3,y2_row_k3,notes
0,0,10,1,2,"Branch0 lane0: r[0,4,8,...,380]","r288 r36 r168 r300 r48 r180 r312 r60","r160 r292 r40 r172 r304 r52 r184 r316","r32 r164 r296 r44 r176 r308 r56 r188",168,42,-291,1413,40,10,64,1293,296,74,837,3028,v4=x0_v5=x1_v6=x2,-886,y0=x0+x1+x2,y1=x0-x2+omega3*(x1-x2),y2=x0-x1-omega3*(x1-x2),0,1,2,one_multiply_dft3_column
0,0,11,1,3,"Branch0 lane0: r[0,4,8,...,380]","r288 r36 r168 r300 r48 r180 r312 r60","r160 r292 r40 r172 r304 r52 r184 r316","r32 r164 r296 r44 r176 r308 r56 r188",300,75,-1310,1514,172,43,1583,2435,44,11,32,2375,v4=x0_v5=x1_v6=x2,-886,y0=x0+x1+x2,y1=x0-x2+omega3*(x1-x2),y2=x0-x1-omega3*(x1-x2),0,1,2,one_multiply_dft3_column
0,0,12,1,4,"Branch0 lane0: r[0,4,8,...,380]","r288 r36 r168 r300 r48 r180 r312 r60","r160 r292 r40 r172 r304 r52 r184 r316","r32 r164 r296 r44 r176 r308 r56 r188",48,12,16,2916,304,76,-655,757,176,44,-937,2946,v4=x0_v5=x1_v6=x2,-886,y0=x0+x1+x2,y1=x0-x2+omega3*(x1-x2),y2=x0-x1-omega3*(x1-x2),0,1,2,one_multiply_dft3_column
0,0,13,1,5,"Branch0 lane0: r[0,4,8,...,380]","r288 r36 r168 r300 r48 r180 r312 r60","r160 r292 r40 r172 r304 r52 r184 r316","r32 r164 r296 r44 r176 r308 r56 r188",180,45,1260,1473,52,13,8,1458,308,77,1401,2107,v4=x0_v5=x1_v6=x2,-886,y0=x0+x1+x2,y1=x0-x2+omega3*(x1-x2),y2=x0-x1-omega3*(x1-x2),0,1,2,one_multiply_dft3_column
0,0,14,1,6,"Branch0 lane0: r[0,4,8,...,380]","r288 r36 r168 r300 r48 r180 r312 r60","r160 r292 r40 r172 r304 r52 r184 r316","r32 r164 r296 r44 r176 r308 r56 r188",312,78,-1028,2782,184,46,630,2465,56,14,4,729,v4=x0_v5=x1_v6=x2,-886,y0=x0+x1+x2,y1=x0-x2+omega3*(x1-x2),y2=x0-x1-omega3*(x1-x2),0,1,2,one_multiply_dft3_column
0,0,15,1,7,"Branch0 lane0: r[0,4,8,...,380]","r288 r36 r168 r300 r48 r180 r312 r60","r160 r292 r40 r172 r304 r52 r184 r316","r32 r164 r296 r44 r176 r308 r56 r188",60,15,2,2093,316,79,-514,1391,188,47,315,2961,v4=x0_v5=x1_v6=x2,-886,y0=x0+x1+x2,y1=x0-x2+omega3*(x1-x2),y2=x0-x1-omega3*(x1-x2),0,1,2,one_multiply_dft3_column
0,0,16,2,0,"Branch0 lane0: r[0,4,8,...,380]","r192 r324 r72 r204 r336 r84 r216 r348","r64 r196 r328 r76 r208 r340 r88 r220","r320 r68 r200 r332 r80 r212 r344 r92",192,48,-1571,3209,64,16,1,2775,320,80,-257,2424,v4=x0_v5=x1_v6=x2,-886,y0=x0+x1+x2,y1=x0-x2+omega3*(x1-x2),y2=x0-x1-omega3*(x1-x2),0,1,2,one_multiply_dft3_column
0,0,17,2,1,"Branch0 lane0: r[0,4,8,...,380]","r192 r324 r72 r204 r336 r84 r216 r348","r64 r196 r328 r76 r208 r340 r88 r220","r320 r68 r200 r332 r80 r212 r344 r92",324,81,1600,1212,196,49,943,3333,68,17,-1728,3116,v4=x0_v5=x1_v6=x2,-886,y0=x0+x1+x2,y1=x0-x2+omega3*(x1-x2),y2=x0-x1-omega3*(x1-x2),0,1,2,one_multiply_dft3_column
0,0,18,2,2,"Branch0 lane0: r[0,4,8,...,380]","r192 r324 r72 r204 r336 r84 r216 r348","r64 r196 r328 r76 r208 r340 r88 r220","r320 r68 r200 r332 r80 r212 r344 r92",72,18,-864,1558,328,82,800,606,200,50,-1257,3395,v4=x0_v5=x1_v6=x2,-886,y0=x0+x1+x2,y1=x0-x2+omega3*(x1-x2),y2=x0-x1-omega3*(x1-x2),0,1,2,one_multiply_dft3_column
0,0,19,2,3,"Branch0 lane0: r[0,4,8,...,380]","r192 r324 r72 r204 r336 r84 r216 r348","r64 r196 r328 r76 r208 r340 r88 r220","r320 r68 r200 r332 r80 r212 r344 r92",204,51,1100,3426,76,19,-432,779,332,83,400,303,v4=x0_v5=x1_v6=x2,-886,y0=x0+x1+x2,y1=x0-x2+omega3*(x1-x2),y2=x0-x1-omega3*(x1-x2),0,1,2,one_multiply_dft3_column
0,0,20,2,4,"Branch0 lane0: r[0,4,8,...,380]","r192 r324 r72 r204 r336 r84 r216 r348","r64 r196 r328 r76 r208 r340 r88 r220","r320 r68 r200 r332 r80 r212 r344 r92",336,84,200,1880,208,52,550,1713,80,20,-216,2118,v4=x0_v5=x1_v6=x2,-886,y0=x0+x1+x2,y1=x0-x2+omega3*(x1-x2),y2=x0-x1-omega3*(x1-x2),0,1,2,one_multiply_dft3_column
0,0,21,2,5,"Branch0 lane0: r[0,4,8,...,380]","r192 r324 r72 r204 r336 r84 r216 r348","r64 r196 r328 r76 r208 r340 r88 r220","r320 r68 r200 r332 r80 r212 r344 r92",84,21,-108,1059,340,85,100,940,212,53,275,2585,v4=x0_v5=x1_v6=x2,-886,y0=x0+x1+x2,y1=x0-x2+omega3*(x1-x2),y2=x0-x1-omega3*(x1-x2),0,1,2,one_multiply_dft3_column
0,0,22,2,6,"Branch0 lane0: r[0,4,8,...,380]","r192 r324 r72 r204 r336 r84 r216 r348","r64 r196 r328 r76 r208 r340 r88 r220","r320 r68 r200 r332 r80 r212 r344 r92",216,54,-1591,3021,88,22,-54,2258,344,86,50,470,v4=x0_v5=x1_v6=x2,-886,y0=x0+x1+x2,y1=x0-x2+omega3*(x1-x2),y2=x0-x1-omega3*(x1-x2),0,1,2,one_multiply_dft3_column
0,0,23,2,7,"Branch0 lane0: r[0,4,8,...,380]","r192 r324 r72 r204 r336 r84 r216 r348","r64 r196 r328 r76 r208 r340 r88 r220","r320 r68 r200 r332 r80 r212 r344 r92",348,87,25,235,220,55,933,3239,92,23,-27,1129,v4=x0_v5=x1_v6=x2,-886,y0=x0+x1+x2,y1=x0-x2+omega3*(x1-x2),y2=x0-x1-omega3*(x1-x2),0,1,2,one_multiply_dft3_column
0,0,24,3,0,"Branch0 lane0: r[0,4,8,...,380]","r96 r228 r360 r108 r240 r372 r120 r252","r352 r100 r232 r364 r112 r244 r376 r124","r224 r356 r104 r236 r368 r116 r248 r380",96,24,1715,2293,352,88,-1716,1846,224,56,-1262,3348,v4=x0_v5=x1_v6=x2,-886,y0=x0+x1+x2,y1=x0-x2+omega3*(x1-x2),y2=x0-x1-omega3*(x1-x2),0,1,2,one_multiply_dft3_column
0,0,25,3,1,"Branch0 lane0: r[0,4,8,...,380]","r96 r228 r360 r108 r240 r372 r120 r252","r352 r100 r232 r364 r112 r244 r376 r124","r224 r356 r104 r236 r368 r116 r248 r380",228,57,-631,1674,100,25,-871,2875,356,89,-858,923,v4=x0_v5=x1_v6=x2,-886,y0=x0+x1+x2,y1=x0-x2+omega3*(x1-x2),y2=x0-x1-omega3*(x1-x2),0,1,2,one_multiply_dft3_column
0,0,26,3,2,"Branch0 lane0: r[0,4,8,...,380]","r96 r228 r360 r108 r240 r372 r120 r252","r352 r100 r232 r364 r112 r244 r376 r124","r224 r356 r104 r236 r368 r116 r248 r380",360,90,-429,2190,232,58,1413,837,104,26,1293,3166,v4=x0_v5=x1_v6=x2,-886,y0=x0+x1+x2,y1=x0-x2+omega3*(x1-x2),y2=x0-x1-omega3*(x1-x2),0,1,2,one_multiply_dft3_column
0,0,27,3,3,"Branch0 lane0: r[0,4,8,...,380]","r96 r228 r360 r108 r240 r372 r120 r252","r352 r100 r232 r364 r112 r244 r376 r124","r224 r356 r104 r236 r368 r116 r248 r380",108,27,-1082,1583,364,91,1514,1095,236,59,-1022,2147,v4=x0_v5=x1_v6=x2,-886,y0=x0+x1+x2,y1=x0-x2+omega3*(x1-x2),y2=x0-x1-omega3*(x1-x2),0,1,2,one_multiply_dft3_column
0,0,28,3,4,"Branch0 lane0: r[0,4,8,...,380]","r96 r228 r360 r108 r240 r372 r120 r252","r352 r100 r232 r364 r112 r244 r376 r124","r224 r356 r104 r236 r368 r116 r248 r380",240,60,-511,2802,112,28,-541,2520,368,92,757,2276,v4=x0_v5=x1_v6=x2,-886,y0=x0+x1+x2,y1=x0-x2+omega3*(x1-x2),y2=x0-x1-omega3*(x1-x2),0,1,2,one_multiply_dft3_column
0,0,29,3,5,"Branch0 lane0: r[0,4,8,...,380]","r96 r228 r360 r108 r240 r372 r120 r252","r352 r100 r232 r364 r112 r244 r376 r124","r224 r356 r104 r236 r368 r116 r248 r380",372,93,-1350,1138,244,61,1473,1401,116,29,1458,1260,v4=x0_v5=x1_v6=x2,-886,y0=x0+x1+x2,y1=x0-x2+omega3*(x1-x2),y2=x0-x1-omega3*(x1-x2),0,1,2,one_multiply_dft3_column
0,0,30,3,6,"Branch0 lane0: r[0,4,8,...,380]","r96 r228 r360 r108 r240 r372 r120 r252","r352 r100 r232 r364 r112 r244 r376 r124","r224 r356 r104 r236 r368 r116 r248 r380",120,30,729,630,376,94,-675,569,248,62,-992,2429,v4=x0_v5=x1_v6=x2,-886,y0=x0+x1+x2,y1=x0-x2+omega3*(x1-x2),y2=x0-x1-omega3*(x1-x2),0,1,2,one_multiply_dft3_column
0,0,31,3,7,"Branch0 lane0: r[0,4,8,...,380]","r96 r228 r360 r108 r240 r372 r120 r252","r352 r100 r232 r364 r112 r244 r376 r124","r224 r356 r104 r236 r368 r116 r248 r380",252,63,-496,2943,124,31,-1364,315,380,95,1391,2013,v4=x0_v5=x1_v6=x2,-886,y0=x0+x1+x2,y1=x0-x2+omega3*(x1-x2),y2=x0-x1-omega3*(x1-x2),0,1,2,one_multiply_dft3_column
0,1,0,0,0,"Branch0 lane1: r[1,5,9,...,381]","r1 r133 r265 r13 r145 r277 r25 r157","r257 r5 r137 r269 r17 r149 r281 r29","r129 r261 r9 r141 r273 r21 r153 r285",1,0,-147,1,257,64,-248,3200,129,32,-682,1886,v4=x0_v5=x1_v6=x2,-886,y0=x0+x1+x2,y1=x0-x2+omega3*(x1-x2),y2=x0-x1-omega3*(x1-x2),0,1,2,one_multiply_dft3_column
0,1,1,0,1,"Branch0 lane1: r[1,5,9,...,381]","r1 r133 r265 r13 r145 r277 r25 r157","r257 r5 r137 r269 r17 r149 r281 r29","r129 r261 r9 r141 r273 r21 r153 r285",133,33,-341,943,5,1,1655,1729,261,65,-124,1600,v4=x0_v5=x1_v6=x2,-886,y0=x0+x1+x2,y1=x0-x2+omega3*(x1-x2),y2=x0-x1-omega3*(x1-x2),0,1,2,one_multiply_dft3_column
0,1,2,0,2,"Branch0 lane1: r[1,5,9,...,381]","r1 r133 r265 r13 r145 r277 r25 r157","r257 r5 r137 r269 r17 r149 r281 r29","r129 r261 r9 r141 r273 r21 r153 r285",265,66,-62,800,137,34,1558,2200,9,2,-901,2593,v4=x0_v5=x1_v6=x2,-886,y0=x0+x1+x2,y1=x0-x2+omega3*(x1-x2),y2=x0-x1-omega3*(x1-x2),0,1,2,one_multiply_dft3_column
0,1,3,0,3,"Branch0 lane1: r[1,5,9,...,381]","r1 r133 r265 r13 r145 r277 r25 r157","r257 r5 r137 r269 r17 r149 r281 r29","r129 r261 r9 r141 r273 r21 r153 r285",13,3,1278,3025,269,67,-31,400,141,35,779,1100,v4=x0_v5=x1_v6=x2,-886,y0=x0+x1+x2,y1=x0-x2+omega3*(x1-x2),y2=x0-x1-omega3*(x1-x2),0,1,2,one_multiply_dft3_column
0,1,4,0,4,"Branch0 lane1: r[1,5,9,...,381]","r1 r133 r265 r13 r145 r277 r25 r157","r257 r5 r137 r269 r17 r149 r281 r29","r129 r261 r9 r141 r273 r21 r153 r285",145,36,-1339,550,17,4,639,3241,273,68,1713,200,v4=x0_v5=x1_v6=x2,-886,y0=x0+x1+x2,y1=x0-x2+omega3*(x1-x2),y2=x0-x1-omega3*(x1-x2),0,1,2,one_multiply_dft3_column
0,1,5,0,5,"Branch0 lane1: r[1,5,9,...,381]","r1 r133 r265 r13 r145 r277 r25 r157","r257 r5 r137 r269 r17 r149 r281 r29","r129 r261 r9 r141 r273 r21 r153 r285",277,69,-872,100,149,37,1059,275,21,5,-1409,3349,v4=x0_v5=x1_v6=x2,-886,y0=x0+x1+x2,y1=x0-x2+omega3*(x1-x2),y2=x0-x1-omega3*(x1-x2),0,1,2,one_multiply_dft3_column
0,1,6,0,6,"Branch0 lane1: r[1,5,9,...,381]","r1 r133 r265 r13 r145 r277 r25 r157","r257 r5 r137 r269 r17 r149 r281 r29","r129 r261 r9 r141 r273 r21 r153 r285",25,6,1024,3403,281,70,-436,50,153,38,-1199,1866,v4=x0_v5=x1_v6=x2,-886,y0=x0+x1+x2,y1=x0-x2+omega3*(x1-x2),y2=x0-x1-omega3*(x1-x2),0,1,2,one_multiply_dft3_column
0,1,7,0,7,"Branch0 lane1: r[1,5,9,...,381]","r1 r133 r265 r13 r145 r277 r25 r157","r257 r5 r137 r269 r17 r149 r281 r29","r129 r261 r9 r141 r273 r21 r153 r285",157,39,1129,933,29,7,512,3430,285,71,-218,25,v4=x0_v5=x1_v6=x2,-886,y0=x0+x1+x2,y1=x0-x2+omega3*(x1-x2),y2=x0-x1-omega3*(x1-x2),0,1,2,one_multiply_dft3_column
0,1,8,1,0,"Branch0 lane1: r[1,5,9,...,381]","r289 r37 r169 r301 r49 r181 r313 r61","r161 r293 r41 r173 r305 r53 r185 r317","r33 r165 r297 r45 r177 r309 r57 r189",289,72,-109,1741,161,40,-1164,2195,33,8,256,1715,v4=x0_v5=x1_v6=x2,-886,y0=x0+x1+x2,y1=x0-x2+omega3*(x1-x2),y2=x0-x1-omega3*(x1-x2),0,1,2,one_multiply_dft3_column
0,1,9,1,1,"Branch0 lane1: r[1,5,9,...,381]","r289 r37 r169 r301 r49 r181 r313 r61","r161 r293 r41 r173 r305 r53 r185 r317","r33 r165 r297 r45 r177 r309 r57 r189",37,9,128,2586,293,73,1674,2599,165,41,-582,2826,v4=x0_v5=x1_v6=x2,-886,y0=x0+x1+x2,y1=x0-x2+omega3*(x1-x2),y2=x0-x1-omega3*(x1-x2),0,1,2,one_multiply_dft3_column
0,1,10,1,2,"Branch0 lane1: r[1,5,9,...,381]","r289 r37 r169 r301 r49 r181 r313 r61","r161 r293 r41 r173 r305 r53 r185 r317","r33 r165 r297 r45 r177 r309 r57 r189",169,42,-291,1413,41,10,64,1293,297,74,837,3028,v4=x0_v5=x1_v6=x2,-886,y0=x0+x1+x2,y1=x0-x2+omega3*(x1-x2),y2=x0-x1-omega3*(x1-x2),0,1,2,one_multiply_dft3_column
0,1,11,1,3,"Branch0 lane1: r[1,5,9,...,381]","r289 r37 r169 r301 r49 r181 r313 r61","r161 r293 r41 r173 r305 r53 r185 r317","r33 r165 r297 r45 r177 r309 r57 r189",301,75,-1310,1514,173,43,1583,2435,45,11,32,2375,v4=x0_v5=x1_v6=x2,-886,y0=x0+x1+x2,y1=x0-x2+omega3*(x1-x2),y2=x0-x1-omega3*(x1-x2),0,1,2,one_multiply_dft3_column
0,1,12,1,4,"Branch0 lane1: r[1,5,9,...,381]","r289 r37 r169 r301 r49 r181 r313 r61","r161 r293 r41 r173 r305 r53 r185 r317","r33 r165 r297 r45 r177 r309 r57 r189",49,12,16,2916,305,76,-655,757,177,44,-937,2946,v4=x0_v5=x1_v6=x2,-886,y0=x0+x1+x2,y1=x0-x2+omega3*(x1-x2),y2=x0-x1-omega3*(x1-x2),0,1,2,one_multiply_dft3_column
0,1,13,1,5,"Branch0 lane1: r[1,5,9,...,381]","r289 r37 r169 r301 r49 r181 r313 r61","r161 r293 r41 r173 r305 r53 r185 r317","r33 r165 r297 r45 r177 r309 r57 r189",181,45,1260,1473,53,13,8,1458,309,77,1401,2107,v4=x0_v5=x1_v6=x2,-886,y0=x0+x1+x2,y1=x0-x2+omega3*(x1-x2),y2=x0-x1-omega3*(x1-x2),0,1,2,one_multiply_dft3_column
0,1,14,1,6,"Branch0 lane1: r[1,5,9,...,381]","r289 r37 r169 r301 r49 r181 r313 r61","r161 r293 r41 r173 r305 r53 r185 r317","r33 r165 r297 r45 r177 r309 r57 r189",313,78,-1028,2782,185,46,630,2465,57,14,4,729,v4=x0_v5=x1_v6=x2,-886,y0=x0+x1+x2,y1=x0-x2+omega3*(x1-x2),y2=x0-x1-omega3*(x1-x2),0,1,2,one_multiply_dft3_column
