branch,k3,pair,pair_role,physical_j,paired_physical_j,position_start,position_end,k32_pre_len2,logical_k32_after_len2,logical_j_after_len2,lambda_table,lambda_mont,lambda_normal,asm_zeta_vector_index,asm_zeta_vector_lane,operation,notes
0,2,2,plus,76,79,304,307,4,4,76,gt_rowbitrev_lambda[0][76],1322,673,9,4,complete_pair_lo_plus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,2,2,minus,79,76,316,319,5,20,28,gt_rowbitrev_lambda[0][79],-1322,2784,9,7,complete_pair_lo_minus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,2,3,plus,82,85,328,331,6,12,4,gt_rowbitrev_lambda[0][82],871,582,10,2,complete_pair_lo_plus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,2,3,minus,85,82,340,343,7,28,52,gt_rowbitrev_lambda[0][85],-871,2875,10,5,complete_pair_lo_minus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,2,4,plus,88,91,352,355,8,2,70,gt_rowbitrev_lambda[0][88],297,1409,11,0,complete_pair_lo_plus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,2,4,minus,91,88,364,367,9,18,22,gt_rowbitrev_lambda[0][91],-297,2048,11,3,complete_pair_lo_minus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,2,5,plus,94,1,376,379,10,10,94,gt_rowbitrev_lambda[0][94],601,1501,11,6,complete_pair_lo_plus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,2,5,minus,1,94,4,7,11,26,46,gt_rowbitrev_lambda[0][1],-601,1956,0,1,complete_pair_lo_minus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,2,6,plus,4,7,16,19,12,6,82,gt_rowbitrev_lambda[0][4],1473,1401,0,4,complete_pair_lo_plus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,2,6,minus,7,4,28,31,13,22,34,gt_rowbitrev_lambda[0][7],-1473,2056,0,7,complete_pair_lo_minus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,2,7,plus,10,13,40,43,14,14,10,gt_rowbitrev_lambda[0][10],1130,251,1,2,complete_pair_lo_plus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,2,7,minus,13,10,52,55,15,30,58,gt_rowbitrev_lambda[0][13],-1130,3206,1,5,complete_pair_lo_minus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,2,8,plus,16,19,64,67,16,1,67,gt_rowbitrev_lambda[0][16],-1583,1022,2,0,complete_pair_lo_plus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,2,8,minus,19,16,76,79,17,17,19,gt_rowbitrev_lambda[0][19],1583,2435,2,3,complete_pair_lo_minus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,2,9,plus,22,25,88,91,18,9,91,gt_rowbitrev_lambda[0][22],696,2394,2,6,complete_pair_lo_plus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,2,9,minus,25,22,100,103,19,25,43,gt_rowbitrev_lambda[0][25],-696,1063,3,1,complete_pair_lo_minus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,2,10,plus,28,31,112,115,20,5,79,gt_rowbitrev_lambda[0][28],774,1053,3,4,complete_pair_lo_plus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,2,10,minus,31,28,124,127,21,21,31,gt_rowbitrev_lambda[0][31],-774,2404,3,7,complete_pair_lo_minus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,2,11,plus,34,37,136,139,22,13,7,gt_rowbitrev_lambda[0][34],1671,1188,4,2,complete_pair_lo_plus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,2,11,minus,37,34,148,151,23,29,55,gt_rowbitrev_lambda[0][37],-1671,2269,4,5,complete_pair_lo_minus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,2,12,plus,40,43,160,163,24,3,73,gt_rowbitrev_lambda[0][40],927,417,5,0,complete_pair_lo_plus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,2,12,minus,43,40,172,175,25,19,25,gt_rowbitrev_lambda[0][43],-927,3040,5,3,complete_pair_lo_minus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,2,13,plus,46,49,184,187,26,11,1,gt_rowbitrev_lambda[0][46],514,2066,5,6,complete_pair_lo_plus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,2,13,minus,49,46,196,199,27,27,49,gt_rowbitrev_lambda[0][49],-514,1391,6,1,complete_pair_lo_minus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,2,14,plus,52,55,208,211,28,7,85,gt_rowbitrev_lambda[0][52],512,3430,6,4,complete_pair_lo_plus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,2,14,minus,55,52,220,223,29,23,37,gt_rowbitrev_lambda[0][55],-512,27,6,7,complete_pair_lo_minus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,2,15,plus,58,61,232,235,30,15,13,gt_rowbitrev_lambda[0][58],489,1831,7,2,complete_pair_lo_plus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
0,2,15,minus,61,58,244,247,31,31,61,gt_rowbitrev_lambda[0][61],-489,1626,7,5,complete_pair_lo_minus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
1,0,0,plus,0,3,384,387,0,0,0,gt_rowbitrev_lambda[1][0],779,1100,12,0,complete_pair_lo_plus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
1,0,0,minus,3,0,396,399,1,16,48,gt_rowbitrev_lambda[1][3],-779,2357,12,3,complete_pair_lo_minus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
1,0,1,plus,6,9,408,411,2,8,24,gt_rowbitrev_lambda[1][6],1588,2482,12,6,complete_pair_lo_plus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
1,0,1,minus,9,6,420,423,3,24,72,gt_rowbitrev_lambda[1][9],-1588,975,13,1,complete_pair_lo_minus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
1,0,2,plus,12,15,432,435,4,4,12,gt_rowbitrev_lambda[1][12],-1095,78,13,4,complete_pair_lo_plus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
1,0,2,minus,15,12,444,447,5,20,60,gt_rowbitrev_lambda[1][15],1095,3379,13,7,complete_pair_lo_minus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
1,0,3,plus,18,21,456,459,6,12,36,gt_rowbitrev_lambda[1][18],892,88,14,2,complete_pair_lo_plus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
1,0,3,minus,21,18,468,471,7,28,84,gt_rowbitrev_lambda[1][21],-892,3369,14,5,complete_pair_lo_minus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
1,0,4,plus,24,27,480,483,8,2,6,gt_rowbitrev_lambda[1][24],1221,415,15,0,complete_pair_lo_plus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
1,0,4,minus,27,24,492,495,9,18,54,gt_rowbitrev_lambda[1][27],-1221,3042,15,3,complete_pair_lo_minus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
1,0,5,plus,30,33,504,507,10,10,30,gt_rowbitrev_lambda[1][30],-218,25,15,6,complete_pair_lo_plus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
1,0,5,minus,33,30,516,519,11,26,78,gt_rowbitrev_lambda[1][33],218,3432,16,1,complete_pair_lo_minus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
1,0,6,plus,36,39,528,531,12,6,18,gt_rowbitrev_lambda[1][36],294,3455,16,4,complete_pair_lo_plus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
1,0,6,minus,39,36,540,543,13,22,66,gt_rowbitrev_lambda[1][39],-294,2,16,7,complete_pair_lo_minus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
1,0,7,plus,42,45,552,555,14,14,42,gt_rowbitrev_lambda[1][42],-732,1416,17,2,complete_pair_lo_plus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
1,0,7,minus,45,42,564,567,15,30,90,gt_rowbitrev_lambda[1][45],732,2041,17,5,complete_pair_lo_minus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
1,0,8,plus,48,51,576,579,16,1,3,gt_rowbitrev_lambda[1][48],22,2281,18,0,complete_pair_lo_plus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
1,0,8,minus,51,48,588,591,17,17,51,gt_rowbitrev_lambda[1][51],-22,1176,18,3,complete_pair_lo_minus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
1,0,9,plus,54,57,600,603,18,9,27,gt_rowbitrev_lambda[1][54],1709,2928,18,6,complete_pair_lo_plus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
1,0,9,minus,57,54,612,615,19,25,75,gt_rowbitrev_lambda[1][57],-1709,529,19,1,complete_pair_lo_minus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
1,0,10,plus,60,63,624,627,20,5,15,gt_rowbitrev_lambda[1][60],-275,872,19,4,complete_pair_lo_plus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
1,0,10,minus,63,60,636,639,21,21,63,gt_rowbitrev_lambda[1][63],275,2585,19,7,complete_pair_lo_minus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
1,0,11,plus,66,69,648,651,22,13,39,gt_rowbitrev_lambda[1][66],1108,1427,20,2,complete_pair_lo_plus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
1,0,11,minus,69,66,660,663,23,29,87,gt_rowbitrev_lambda[1][69],-1108,2030,20,5,complete_pair_lo_minus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
1,0,12,plus,72,75,672,675,24,3,9,gt_rowbitrev_lambda[1][72],354,562,21,0,complete_pair_lo_plus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
1,0,12,minus,75,72,684,687,25,19,57,gt_rowbitrev_lambda[1][75],-354,2895,21,3,complete_pair_lo_minus_hi_then_basemul,incomplete_pair_basemul_then_uncomplete_with_half
