branch,quartic_lane,dft_output_k3,input_k32,input_work_index,ntt32_register,ntt32_register_lane,ntt32_vector_group,bitrev_output_index,bitrev_output_register,bitrev_output_lane,source_pos_n3_0,source_pos_n3_1,source_pos_n3_2,source_block_n3_0,source_block_n3_1,source_block_n3_2,operation,notes
0,0,2,29,29,v7,5,3,23,v6,7,372,244,116,93,61,29,work[29]=dft3_row_2[29];complete_dif_out[bitreverse5(29)]=NTT32[23],natural_input_pack_for_complete_dif_ntt32_bitrev_output
0,0,2,30,30,v7,6,3,15,v5,7,120,376,248,30,94,62,work[30]=dft3_row_2[30];complete_dif_out[bitreverse5(30)]=NTT32[15],natural_input_pack_for_complete_dif_ntt32_bitrev_output
0,0,2,31,31,v7,7,3,31,v7,7,252,124,380,63,31,95,work[31]=dft3_row_2[31];complete_dif_out[bitreverse5(31)]=NTT32[31],natural_input_pack_for_complete_dif_ntt32_bitrev_output
0,1,0,0,0,v4,0,0,0,v4,0,1,257,129,0,64,32,work[0]=dft3_row_0[0];complete_dif_out[bitreverse5(0)]=NTT32[0],natural_input_pack_for_complete_dif_ntt32_bitrev_output
0,1,0,1,1,v4,1,0,16,v6,0,133,5,261,33,1,65,work[1]=dft3_row_0[1];complete_dif_out[bitreverse5(1)]=NTT32[16],natural_input_pack_for_complete_dif_ntt32_bitrev_output
0,1,0,2,2,v4,2,0,8,v5,0,265,137,9,66,34,2,work[2]=dft3_row_0[2];complete_dif_out[bitreverse5(2)]=NTT32[8],natural_input_pack_for_complete_dif_ntt32_bitrev_output
0,1,0,3,3,v4,3,0,24,v7,0,13,269,141,3,67,35,work[3]=dft3_row_0[3];complete_dif_out[bitreverse5(3)]=NTT32[24],natural_input_pack_for_complete_dif_ntt32_bitrev_output
0,1,0,4,4,v4,4,0,4,v4,4,145,17,273,36,4,68,work[4]=dft3_row_0[4];complete_dif_out[bitreverse5(4)]=NTT32[4],natural_input_pack_for_complete_dif_ntt32_bitrev_output
0,1,0,5,5,v4,5,0,20,v6,4,277,149,21,69,37,5,work[5]=dft3_row_0[5];complete_dif_out[bitreverse5(5)]=NTT32[20],natural_input_pack_for_complete_dif_ntt32_bitrev_output
0,1,0,6,6,v4,6,0,12,v5,4,25,281,153,6,70,38,work[6]=dft3_row_0[6];complete_dif_out[bitreverse5(6)]=NTT32[12],natural_input_pack_for_complete_dif_ntt32_bitrev_output
0,1,0,7,7,v4,7,0,28,v7,4,157,29,285,39,7,71,work[7]=dft3_row_0[7];complete_dif_out[bitreverse5(7)]=NTT32[28],natural_input_pack_for_complete_dif_ntt32_bitrev_output
0,1,0,8,8,v5,0,1,2,v4,2,289,161,33,72,40,8,work[8]=dft3_row_0[8];complete_dif_out[bitreverse5(8)]=NTT32[2],natural_input_pack_for_complete_dif_ntt32_bitrev_output
0,1,0,9,9,v5,1,1,18,v6,2,37,293,165,9,73,41,work[9]=dft3_row_0[9];complete_dif_out[bitreverse5(9)]=NTT32[18],natural_input_pack_for_complete_dif_ntt32_bitrev_output
0,1,0,10,10,v5,2,1,10,v5,2,169,41,297,42,10,74,work[10]=dft3_row_0[10];complete_dif_out[bitreverse5(10)]=NTT32[10],natural_input_pack_for_complete_dif_ntt32_bitrev_output
0,1,0,11,11,v5,3,1,26,v7,2,301,173,45,75,43,11,work[11]=dft3_row_0[11];complete_dif_out[bitreverse5(11)]=NTT32[26],natural_input_pack_for_complete_dif_ntt32_bitrev_output
