region,variant,block,slot,cycles
0,3,13,7,903
0,0,14,0,2745
0,1,14,1,1507
0,2,14,2,2488
0,3,14,3,2072
0,3,14,4,1950
0,2,14,5,2733
0,1,14,6,2701
0,0,14,7,2859
0,3,15,0,1733
0,2,15,1,1957
0,1,15,2,1626
0,0,15,3,2435
0,0,15,4,921
0,1,15,5,1559
0,2,15,6,902
0,3,15,7,924
0,0,16,0,1698
0,1,16,1,2796
0,2,16,2,2724
0,3,16,3,2853
0,3,16,4,2814
0,2,16,5,2728
0,1,16,6,2692
0,0,16,7,2841
0,3,17,0,2899
0,2,17,1,2715
0,1,17,2,2679
0,0,17,3,1637
0,0,17,4,910
0,1,17,5,1740
0,2,17,6,910
0,3,17,7,2470
0,0,18,0,2826
0,1,18,1,1725
0,2,18,2,2264
0,3,18,3,916
0,3,18,4,2351
0,2,18,5,922
0,1,18,6,919
0,0,18,7,900
0,3,19,0,937
0,2,19,1,919
0,1,19,2,941
0,0,19,3,932
0,0,19,4,912
0,1,19,5,932
0,2,19,6,912
0,3,19,7,922
0,0,20,0,929
0,1,20,1,925
0,2,20,2,932
0,3,20,3,882
0,3,20,4,915
0,2,20,5,921
0,1,20,6,916
0,0,20,7,910
0,3,21,0,907
0,2,21,1,925
0,1,21,2,890
0,0,21,3,932
0,0,21,4,914
0,1,21,5,890
0,2,21,6,950
0,3,21,7,886
0,0,22,0,916
0,1,22,1,909
0,2,22,2,923
0,3,22,3,909
0,3,22,4,885
0,2,22,5,952
0,1,22,6,927
0,0,22,7,922
0,3,23,0,883
0,2,23,1,939
0,1,23,2,903
0,0,23,3,902
0,0,23,4,907
0,1,23,5,918
0,2,23,6,918
0,3,23,7,917
0,0,24,0,931
0,1,24,1,927
0,2,24,2,945
0,3,24,3,912
0,3,24,4,891
0,2,24,5,907
0,1,24,6,928
0,0,24,7,918
0,3,25,0,915
0,2,25,1,934
0,1,25,2,934
0,0,25,3,920
0,0,25,4,939
0,1,25,5,957
0,2,25,6,933
0,3,25,7,898
0,0,26,0,878
0,1,26,1,921
0,2,26,2,914
0,3,26,3,917
0,3,26,4,907
0,2,26,5,915
0,1,26,6,901
0,0,26,7,939
0,3,27,0,905
0,2,27,1,930
0,1,27,2,925
0,0,27,3,917
0,0,27,4,1418
0,1,27,5,2781
0,2,27,6,2778
0,3,27,7,2823
0,0,28,0,2886
0,1,28,1,2709
0,2,28,2,2700
0,3,28,3,2805
0,3,28,4,2871
0,2,28,5,2790
0,1,28,6,2718
0,0,28,7,2853
0,3,29,0,2862
0,2,29,1,2715
0,1,29,2,2724
0,0,29,3,2754
0,0,29,4,2817
0,1,29,5,2733
0,2,29,6,2745
0,3,29,7,2823
0,0,30,0,2790
0,1,30,1,2733
0,2,30,2,2751
0,3,30,3,2751
0,3,30,4,2817
0,2,30,5,2697
0,1,30,6,2751
0,0,30,7,2826
0,3,31,0,2895
0,2,31,1,2697
0,1,31,2,2769
0,0,31,3,2835
0,0,31,4,2823
0,1,31,5,2733
0,2,31,6,2697
0,3,31,7,2817
1,0,0,0,2904
1,1,0,1,2727
1,2,0,2,2718
1,3,0,3,2841
1,3,0,4,2817
1,2,0,5,2742
1,1,0,6,2715
1,0,0,7,2814
1,3,1,0,2931
1,2,1,1,2718
1,1,1,2,2727
1,0,1,3,2814
1,0,1,4,886
1,1,1,5,928
1,2,1,6,899
1,3,1,7,920
1,0,2,0,917
1,1,2,1,909
1,2,2,2,910
1,3,2,3,921
1,3,2,4,931
1,2,2,5,915
1,1,2,6,934
1,0,2,7,916
1,3,3,0,903
1,2,3,1,930
1,1,3,2,937
1,0,3,3,917
1,0,3,4,951
1,1,3,5,926
1,2,3,6,917
1,3,3,7,920
1,0,4,0,888
1,1,4,1,908
1,2,4,2,919
1,3,4,3,903
1,3,4,4,890
1,2,4,5,904
1,1,4,6,890
1,0,4,7,910
1,3,5,0,900
1,2,5,1,953
1,1,5,2,950
1,0,5,3,915
1,0,5,4,894
1,1,5,5,917
1,2,5,6,919
1,3,5,7,883
1,0,6,0,922
1,1,6,1,925
1,2,6,2,926
1,3,6,3,930
1,3,6,4,872
1,2,6,5,924
1,1,6,6,917
1,0,6,7,931
1,3,7,0,908
1,2,7,1,944
1,1,7,2,914
1,0,7,3,928
1,0,7,4,896
1,1,7,5,923
1,2,7,6,932
1,3,7,7,925
1,0,8,0,901
1,1,8,1,938
1,2,8,2,905
1,3,8,3,909
1,3,8,4,906
1,2,8,5,901
1,1,8,6,929
1,0,8,7,919
1,3,9,0,926
1,2,9,1,913
1,1,9,2,912
1,0,9,3,901
1,0,9,4,898
1,1,9,5,919
1,2,9,6,916
1,3,9,7,918
1,0,10,0,901
1,1,10,1,896
1,2,10,2,923
1,3,10,3,922
1,3,10,4,915
1,2,10,5,925
1,1,10,6,928
1,0,10,7,924
1,3,11,0,925
1,2,11,1,899
1,1,11,2,940
1,0,11,3,899
1,0,11,4,932
1,1,11,5,913
1,2,11,6,920
1,3,11,7,900
1,0,12,0,901
1,1,12,1,911
1,2,12,2,928
1,3,12,3,927
1,3,12,4,926
1,2,12,5,926
1,1,12,6,921
1,0,12,7,910
1,3,13,0,919
1,2,13,1,894
1,1,13,2,918
1,0,13,3,920
1,0,13,4,897
1,1,13,5,910
1,2,13,6,906
1,3,13,7,893
1,0,14,0,908
1,1,14,1,916
1,2,14,2,950
1,3,14,3,930
1,3,14,4,888
1,2,14,5,922
1,1,14,6,908
1,0,14,7,905
1,3,15,0,909
1,2,15,1,903
1,1,15,2,924
1,0,15,3,910
1,0,15,4,901
1,1,15,5,904
1,2,15,6,937
1,3,15,7,910
1,0,16,0,919
1,1,16,1,931
1,2,16,2,933
1,3,16,3,910
1,3,16,4,910
1,2,16,5,930
1,1,16,6,928
1,0,16,7,898
1,3,17,0,932
1,2,17,1,929
1,1,17,2,934
1,0,17,3,927
1,0,17,4,910
1,1,17,5,950
1,2,17,6,937
1,3,17,7,911
1,0,18,0,913
1,1,18,1,912
1,2,18,2,921
1,3,18,3,923
1,3,18,4,917
1,2,18,5,920
1,1,18,6,938
1,0,18,7,923
1,3,19,0,927
1,2,19,1,948
1,1,19,2,921
1,0,19,3,920
1,0,19,4,907
1,1,19,5,912
1,2,19,6,931
1,3,19,7,929
1,0,20,0,931
1,1,20,1,948
1,2,20,2,925
1,3,20,3,904
1,3,20,4,902
1,2,20,5,899
1,1,20,6,914
1,0,20,7,897
1,3,21,0,919
1,2,21,1,911
1,1,21,2,934
1,0,21,3,922
1,0,21,4,905
1,1,21,5,914
1,2,21,6,915
1,3,21,7,921
1,0,22,0,933
1,1,22,1,931
1,2,22,2,926
1,3,22,3,925
1,3,22,4,885
