implementation crypto_kem/ntruplus1152/avx2 - 
publickeybytes 1728 
secretkeybytes 3488 
cpuid unknown_CPU_ID_ 
cpucycles_persecond 1400000000 
cpucycles_implementation default-perfevent 
compiler gcc_-march=native_-mtune=native_-O3_-fwrapv_-fPIC_-fPIE_-ffunction-sections_-fdata-sections_-Wl,--gc-sections_-gdwarf-4_-Wall 15.2.0 
crepmod3_cycles - 559 +404+35+29-3+0+9+0-12-3-1-11+8-1-2+4+5+0-1+11-9-6-3+6+9-5+7-5+10-12+9-9-7
poly_add_cycles - 275 +135+6+3+3+6+12-8-9-7+4-9+1+2-5-2-3-4-5+6-10+3-7-5+9-10-4+8+11+1+1-5+3
poly_sub_cycles - 280 +120+1+1-6-2+1-6+5-4-5+4-1-2+0+4-4+4+4-4-2-1+4+3-1+0-4+1-3+5-4-2+1
sotp_encode_cycles - 386 +117+24+24+12+14+3+4+4-1+2+6+0-1+3-3-7+1+2-1-5+1-4-6-4+0+1-3-3-2-2-1-4
sotp_decode_cycles - 439 +136+0+3-1+1+1+0+0+3+8+9+10+2-1-9-5-2+7+1-7-10-9+3-9-5+4-2-3-4-2+5+0
hash_f_cycles - 15514 +1282+193+117-16+188+36+176+216-6+68-31-24+2+32-59+7-26-5-51-19+184-63-16+45-19+6+39-40-21-22+29-25
hash_g_cycles - 18050 +591-59+65+110+32+53-17-78+94+14-188-3+42-149+18+45+8+76+6-78+27-7-55-43-11-96-6-208-119+2-17+70
hash_h_cycles - 4931 +399+137+180+115+56+57-26+30+96+18+35-18+128+13-35-64-67-67-65-40-69+70+50-84+1+17-99+68-67-61-100-43
poly_mul_small_cycles - 4502 +893+122+55+45+27-7-24-6+7+27+37-3+13+22-38-3+3+18+2-12+8-26-26-31+21-7-8-21-43+12-27-22
poly_mul_general_cycles - 4484 +174+11-27-13-4-50+2+20-19-31+21+31-16-8+9-7-28+18+35-4-32-16-10-16+18+27-5+15+39+21-5+18
forward_small_native_inplace_cycles - 1399 +35+7+12+22+14+31+26+1+3-6-14-1-1-6-4-14+0-17-31+6+10-1-19+23+17-14+4-6-35-12-16+5
forward_small_preserve_input_cycles - 1440 +104+46+14+12+14-7+2+0-21-14-14-5+14+1+7-1+44+2-10-12-25-12-14-4+8-18+24-2+15-4+18-1
forward_general_native_inplace_unqualified_cycles - 1406 +56+38+12+27+15-4-20-6+1-17-27-10+4-8+5+8-15+8+7+8-5+2+2+2+24+4-8-1-19-21-16-29
forward_general_preserve_input_unqualified_cycles - 1440 +109+2+16+31+22+18-8+15+3+11+1+2+20-29-4-26-21-6-9+10-17-17-11-3+1+0-12+6-31+1+0+3
basemul_cycles - 960 +47+17+0+1-4-1+12+7+11-10-11+0-2-10+14+1+4+5-6+1-10-2+5+7-6-8-10+4-2+6-13-1
basemul_scale_cycles - 834 +36+21+4+9+4+0-4+0+6-3-2+3-2+0-4+9-5+4-3+0+1+4+2-1-3+1-3-2-1+6+2-1
inverse_cycles - 1501 +67+48+1-20-6-16+6+11+16-3-8+18-21-12-6+15+7-12+32+10+5+3+3-32-21+3+26-18+3-33-9-8
baseinv_cycles - 1584 +108+37+79-7-14-10-4-22+1+11+127+2+23+15+4-5-5-4-8+6+8+2+7+0-11+11+27-10-10+0-6-7
poly_frombytes_cycles - 421 +42+10+8+1+5+6+0+5+12-1+2-1+4+14+10+5+7-7-5-11-4-4+1-8-4+5-6-2-3-6-8-6
poly_tobytes_cycles - 527 +17+4-3+9-5+4-1-4+5+2+1+4-1-7+4-4-6+3+0-8-10+2+0-1+0+4-4+1-3+6-5+2
cbd1_cycles - 392 +18+10+3-4+0+1+4+1-2-11-4+5-3-10-6+1-11-13+7+4-14+1+2-13+6+10+2+6-6-16-12+1
crepmod3_cycles - 556 +31+19-10-2+3+9-6-8+9-2+6+2-3+3+11+2+0-2+0+17+10+0-5-5-5+3+2+0-1-8-7+1
poly_add_cycles - 275 +40+17-4+7+9+0-4+3-1-2-3-2-5+5-5-4+2+3-4+11-1+13-2+8+9-1-4+1+8-1-5-11
poly_sub_cycles - 275 +23+1-7-12-2-10+1+8-5+4-5-9-1+1+2-1+2-3+2+9-3-2+4-6+6+2+5+1+4+0+3-4
sotp_encode_cycles - 384 +34+16+12+10+15+0+4-2-3-2+2+2-3-4-7-3-2+2-5+2-4+6+0-2+1+2-5-1+3+0+5-4
sotp_decode_cycles - 436 +53+7-1+1+4+4+10-7-2-1-2+1+9+1-1-4+1+9-2+14-6+4-3+0+3-3+2-4+3-7-2+2
hash_f_cycles - 15539 +220+77+197-62+11+249+122-19-4+193-32-51-21-81-83-48-13+163+31-61+34-21+63-70-40+30+88+53+193-102-49-13
hash_g_cycles - 17863 +326+63+318+52+4+261+205+98-47+203-185+178-70+227-121-59-116-54-98-153-104-147+596+248+148-3+149-82-94+41-76-65
hash_h_cycles - 4935 +172+79-13-37-24-49-83+95+20-64+113-2+40-45-60+92+68+79-73+32+91+68+80-67+71-71-76-71+23+5-112-93
poly_mul_small_cycles - 4485 +181+50-33+21+35+7+10+18+13+9-1-11-7-8+32-12+9+28-16+0+45-20-44+27+0-48-60+2-29-28-74-43
poly_mul_general_cycles - 4500 +165+13+1-35+4-30-17-10-25-25+5+6-3-62+36-38+10-12+17-8-17-7+27+5+30+24+10+30+5+18-7-22
forward_small_native_inplace_cycles - 1393 +60+7-5-1+17+18-19-1-8-6-5-11-2-14-12-12+11+0+3-1+3+9+3+13+6+14+7+4+1-1-29-3
forward_small_preserve_input_cycles - 1446 +99+51+13+28+8+28+7+11+5+19-1-21-12-30+3-6-30-20-25-3+7-6+0-34+12+18+13-12-18-24-20-2
forward_general_native_inplace_unqualified_cycles - 1398 +16-22+19-2+4-5+0-8-3-19-3-16+4-6-3+21-2-11+22+21-7-2+11+3+2+6+3+16+5-21-41+4
forward_general_preserve_input_unqualified_cycles - 1436 +123+30+21+17+24+15+9+4+0+12-10+3+9-21-4+3+0-31-11-10-1-18-4-10-12+13-37-10-15-12+12+6
basemul_cycles - 967 +44+22-1+1+6+7+18-6-3-7+0+1-6-9-20+2+3-4-20-8-6+4-2+2-16+0+18-1-1+2+1-4
basemul_scale_cycles - 837 +32+15+6-5+0+2+4+3+0-3-1+0-1-1+0+4-4+0-2-1-4+0-4-1+4+5+1+1-2+2+1-1
inverse_cycles - 1501 +66+30+19-3+9-2+2+21-4-4+21+1-17+3-13-6+1-1-5+11-8+9+7+5-43+10-13-20-14-8-15+13
baseinv_cycles - 1580 +63+56+87+15+9-2-4+11+145-5-5+129-3+21+0+0+3+9-13+10+0-9+3-2+17-8-5-16-3-6-19-8
poly_frombytes_cycles - 417 +33+10+6+7+9+7+3+10+1+0+0+3+3+7-6-2+5-2-1-4-6-2-3-4-8+1-4+0-1+0+0+0
poly_tobytes_cycles - 530 +13+7+0+0-5+0+8+2+0-2-4+4-1+6-6+7+7-5-4+2-1+6-5+1+2-1-1+3+5-1+0+1
cbd1_cycles - 387 +15+18+10-1+3-9-12-6-7-11-9-10+3-11-1-12-10+7-7+3+3+9-6+0+10+9+4+8+9+2-9+1
crepmod3_cycles - 557 +33+21+3-1-4+1-7+4+0-2-3-10-7-1-4+1-3-12-5+11-2+4+4+1+2+5+1-3+9-4+2-7
poly_add_cycles - 276 +51+8+3+1-9+10-3+1+1-5-9+10+2+12-4-7+15+18-1-5+2+3-2+2-5+1+9-1-4-5-3-5
poly_sub_cycles - 273 +50+9-6-5+4+3+6+3+1+0+3+0+4-2+0+0+4-3-3-7-4-6+2+2+0-2-5-3+10+5-4-2
sotp_encode_cycles - 388 +44+19+9+7+8-1+2+2-1-5-5+1+4-1-6-3+2-5-2+10+7+3+2-2+1-5-3-1-5-4-4-1
sotp_decode_cycles - 439 +42+22+8+11+0+1+4+4-10-2+1+6+1-3+5-8+2-4+1-5-8-8-2+1+4-9-1-9-4-5+9-4
hash_f_cycles - 15693 +32+89+82+62-204+6-192-247-95+41-129-173-253-147+28+3+103-13+26-47-57-41+41+75-21+33+40-212+13+10+36-27
hash_g_cycles - 18002 -179-51-8-152-27-84-175-149-79-147-96-237-265-241-292-251+183+85+104+3+136+131+106+49+157+211+48+111+125+105+71+64
hash_h_cycles - 4902 +170+153+106+10-40-21-59-40+73-49+77+37-40-23-19-28+80+116-37-27-90+106+65+127-57-34+67+22-25-6+52+3
poly_mul_small_cycles - 4502 +137+19+38-27+31-38+77+10-53-20-53-23+5+10-10-1+0+2+14+27+55+29-34+24-55-19-41+23-21-25+10-36
poly_mul_general_cycles - 4514 +127+66+31-13-16-1+32+15+35+23+19+24+5+1-33-4-13-25-63-66-58+14-54-39+10-20-29+8+4-7-3+29
