region,block,slot,observation,bank,cycles
0,3,0,13,13,12413
0,3,0,14,14,12212
0,3,0,15,15,12297
0,3,0,16,0,12276
0,3,0,17,1,12227
0,3,0,18,2,12316
0,3,0,19,3,12341
0,3,0,20,4,12273
0,3,0,21,5,12418
0,3,0,22,6,12446
0,3,0,23,7,12450
0,3,0,24,8,12424
0,3,0,25,9,12335
0,3,0,26,10,12298
0,3,0,27,11,12272
0,3,0,28,12,12377
0,3,0,29,13,12287
0,3,0,30,14,12186
0,3,0,31,15,12346
0,3,1,0,0,12323
0,3,1,1,1,12383
0,3,1,2,2,12360
0,3,1,3,3,12378
0,3,1,4,4,12311
0,3,1,5,5,12350
0,3,1,6,6,12357
0,3,1,7,7,12363
0,3,1,8,8,12448
0,3,1,9,9,12312
0,3,1,10,10,12333
0,3,1,11,11,12389
0,3,1,12,12,12387
0,3,1,13,13,12287
0,3,1,14,14,12239
0,3,1,15,15,12347
0,3,1,16,0,12376
0,3,1,17,1,12345
0,3,1,18,2,12408
0,3,1,19,3,12371
0,3,1,20,4,12358
0,3,1,21,5,12439
0,3,1,22,6,12293
0,3,1,23,7,12232
0,3,1,24,8,12379
0,3,1,25,9,12414
0,3,1,26,10,12288
0,3,1,27,11,12390
0,3,1,28,12,12325
0,3,1,29,13,12327
0,3,1,30,14,12324
0,3,1,31,15,12307
0,3,2,0,0,12602
0,3,2,1,1,12834
0,3,2,2,2,12434
0,3,2,3,3,12390
0,3,2,4,4,12397
0,3,2,5,5,12333
0,3,2,6,6,12304
0,3,2,7,7,12443
0,3,2,8,8,12359
0,3,2,9,9,12254
0,3,2,10,10,12379
0,3,2,11,11,12406
0,3,2,12,12,12399
0,3,2,13,13,12326
0,3,2,14,14,12381
0,3,2,15,15,12395
0,3,2,16,0,12373
0,3,2,17,1,12383
0,3,2,18,2,12334
0,3,2,19,3,12406
0,3,2,20,4,12348
0,3,2,21,5,12398
0,3,2,22,6,12358
0,3,2,23,7,12316
0,3,2,24,8,12317
0,3,2,25,9,12323
0,3,2,26,10,12359
0,3,2,27,11,12419
0,3,2,28,12,12363
0,3,2,29,13,12409
0,3,2,30,14,12349
0,3,2,31,15,12363
0,3,3,0,0,12349
0,3,3,1,1,12379
0,3,3,2,2,12306
0,3,3,3,3,12234
0,3,3,4,4,12345
0,3,3,5,5,12283
0,3,3,6,6,12335
0,3,3,7,7,12305
0,3,3,8,8,12401
0,3,3,9,9,12379
0,3,3,10,10,12313
0,3,3,11,11,12279
0,3,3,12,12,12306
0,3,3,13,13,12332
0,3,3,14,14,12301
0,3,3,15,15,12309
0,3,3,16,0,12383
0,3,3,17,1,12270
0,3,3,18,2,12314
0,3,3,19,3,12323
0,3,3,20,4,12411
0,3,3,21,5,12336
0,3,3,22,6,12330
0,3,3,23,7,12313
0,3,3,24,8,12363
0,3,3,25,9,12234
0,3,3,26,10,12265
0,3,3,27,11,12301
0,3,3,28,12,12314
0,3,3,29,13,12339
0,3,3,30,14,12264
0,3,3,31,15,12305
0,4,0,0,0,12484
0,4,0,1,1,12368
0,4,0,2,2,12416
0,4,0,3,3,12429
0,4,0,4,4,12433
0,4,0,5,5,12423
0,4,0,6,6,12366
0,4,0,7,7,12319
0,4,0,8,8,12512
0,4,0,9,9,12307
0,4,0,10,10,12398
0,4,0,11,11,12326
0,4,0,12,12,12366
0,4,0,13,13,12357
0,4,0,14,14,12412
0,4,0,15,15,12386
0,4,0,16,0,12358
0,4,0,17,1,12354
0,4,0,18,2,12336
0,4,0,19,3,12359
0,4,0,20,4,12358
0,4,0,21,5,12333
0,4,0,22,6,12386
0,4,0,23,7,12338
0,4,0,24,8,12315
0,4,0,25,9,12348
0,4,0,26,10,12363
0,4,0,27,11,12324
0,4,0,28,12,12330
0,4,0,29,13,12336
0,4,0,30,14,12396
0,4,0,31,15,12358
0,4,1,0,0,12293
0,4,1,1,1,12335
0,4,1,2,2,12722
0,4,1,3,3,12355
0,4,1,4,4,12228
0,4,1,5,5,12263
0,4,1,6,6,12234
0,4,1,7,7,12252
0,4,1,8,8,12320
0,4,1,9,9,12390
0,4,1,10,10,12228
0,4,1,11,11,12298
0,4,1,12,12,12331
0,4,1,13,13,12292
