family,cut,block,observation,cycles
cpucycles tracesetup 0 amd64-perfpmcff precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 1 amd64-perfpmc precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 2 amd64-pmcff precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 3 amd64-tsc precision 1016 scaling 0.467415 only32 0
cpucycles tracesetup 4 amd64-tscasm precision 1026 scaling 0.467415 only32 0
cpucycles tracesetup 5 default-perfevent precision 204 scaling 1.000000 only32 0
cpucycles tracesetup 6 default-mach precision 0 scaling 0.000000 only32 0
cpucycles tracesetup 7 default-monotonic precision 1075 scaling 1.400000 only32 0
cpucycles tracesetup 8 default-gettimeofday precision 2440 scaling 1400.000000 only32 0
cpucycles tracesetup 9 default-zero precision 0 scaling 0.000000 only32 0
0,2,1,5,4616
0,2,1,6,4582
0,2,1,7,4583
0,2,1,8,4598
0,2,1,9,4536
0,2,1,10,4524
0,2,1,11,4588
0,2,1,12,4614
0,2,1,13,4563
0,2,1,14,4606
0,2,1,15,4553
0,2,1,16,4581
0,2,1,17,4568
0,2,1,18,4598
0,2,1,19,4649
0,2,1,20,4751
0,2,1,21,4595
0,2,1,22,4593
0,2,1,23,4606
0,2,1,24,4600
0,2,1,25,4620
0,2,1,26,4563
0,2,1,27,4605
0,2,1,28,4530
0,2,1,29,4632
0,2,1,30,4620
0,2,1,31,4552
0,1,1,0,3428
0,1,1,1,3564
0,1,1,2,3489
0,1,1,3,3582
0,1,1,4,3564
0,1,1,5,3538
0,1,1,6,3531
0,1,1,7,3543
0,1,1,8,3523
0,1,1,9,3528
0,1,1,10,3534
0,1,1,11,3541
0,1,1,12,3545
0,1,1,13,3544
0,1,1,14,3594
0,1,1,15,3545
0,1,1,16,3516
0,1,1,17,3534
0,1,1,18,3531
0,1,1,19,3557
0,1,1,20,3539
0,1,1,21,3518
0,1,1,22,3511
0,1,1,23,3529
0,1,1,24,3493
0,1,1,25,3528
0,1,1,26,3557
0,1,1,27,3540
0,1,1,28,3532
0,1,1,29,3537
0,1,1,30,3501
0,1,1,31,3532
0,0,1,0,2787
0,0,1,1,2797
0,0,1,2,2812
0,0,1,3,2780
0,0,1,4,2800
0,0,1,5,2782
0,0,1,6,2795
0,0,1,7,2785
0,0,1,8,2790
0,0,1,9,2789
0,0,1,10,2809
0,0,1,11,2801
0,0,1,12,2777
0,0,1,13,2787
0,0,1,14,2786
0,0,1,15,2798
0,0,1,16,2779
0,0,1,17,2816
0,0,1,18,2801
0,0,1,19,2791
0,0,1,20,2798
0,0,1,21,2789
0,0,1,22,2805
0,0,1,23,2799
0,0,1,24,2802
0,0,1,25,2799
0,0,1,26,2789
0,0,1,27,2791
0,0,1,28,2818
0,0,1,29,2774
0,0,1,30,2796
0,0,1,31,2793
1,8,1,0,28301
1,8,1,1,28358
1,8,1,2,27976
1,8,1,3,28841
1,8,1,4,28400
1,8,1,5,28236
1,8,1,6,28466
1,8,1,7,28146
1,8,1,8,28034
1,8,1,9,28061
1,8,1,10,28207
1,8,1,11,28139
1,8,1,12,28189
1,8,1,13,28143
1,8,1,14,27921
1,8,1,15,28205
1,8,1,16,28120
1,8,1,17,28006
1,8,1,18,28156
1,8,1,19,28011
1,8,1,20,28007
1,8,1,21,28275
1,8,1,22,28287
1,8,1,23,28394
1,8,1,24,28596
1,8,1,25,28194
1,8,1,26,28007
1,8,1,27,28063
1,8,1,28,28226
1,8,1,29,27897
1,8,1,30,27894
1,8,1,31,27931
1,7,1,0,27873
1,7,1,1,28063
1,7,1,2,28184
1,7,1,3,27941
1,7,1,4,27947
1,7,1,5,27832
1,7,1,6,27930
1,7,1,7,27951
1,7,1,8,27853
1,7,1,9,27887
1,7,1,10,27894
